time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-17T00:00:30,0.0019,-0.0019,0.0073,0.0078,9
2024-05-17T00:01:00,-0.0010,-0.0022,-0.0006,0.0025,9
2024-05-17T00:01:30,0.0012,-0.0039,-0.0110,0.0117,9
2024-05-17T00:02:00,-0.0005,-0.0033,-0.0091,0.0096,9
2024-05-17T00:02:30,0.0004,0.0020,0.0053,0.0057,9
2024-05-17T00:03:00,-0.0025,-0.0019,-0.0031,0.0044,9
2024-05-17T00:03:30,0.0019,-0.0024,-0.0237,0.0239,9
2024-05-17T00:04:00,-0.0055,0.0005,0.0026,0.0061,8
2024-05-17T00:04:30,-0.0011,0.0043,0.0135,0.0142,8
2024-05-17T00:05:00,0.0030,0.0016,-0.0113,0.0118,8
2024-05-17T00:05:30,0.0027,0.0006,-0.0042,0.0051,8
2024-05-17T00:06:00,0.0036,0.0014,-0.0012,0.0041,8
2024-05-17T00:06:30,-0.0065,-0.0056,0.0437,0.0445,8
2024-05-17T00:07:00,0.0142,0.0041,-0.0217,0.0263,7
2024-05-17T00:07:30,0.0022,0.0014,-0.0171,0.0173,7
2024-05-17T00:08:00,-0.0039,-0.0036,-0.0056,0.0077,6
2024-05-17T00:08:30,-0.0073,0.0045,0.0002,0.0086,6
2024-05-17T00:09:00,-0.0084,-0.0014,0.0351,0.0361,6
2024-05-17T00:09:30,-0.0011,-0.0035,0.0036,0.0052,6
2024-05-17T00:10:00,-0.0035,-0.0007,-0.0114,0.0120,6
2024-05-17T00:10:30,0.0072,-0.0017,-0.0353,0.0360,8
2024-05-17T00:11:00,-0.0031,0.0033,-0.0226,0.0230,8
2024-05-17T00:11:30,-0.0085,0.0034,0.0283,0.0297,6
2024-05-17T00:12:00,-0.0039,0.0050,-0.0018,0.0066,6
2024-05-17T00:12:30,-0.0002,0.0046,0.0204,0.0209,6
2024-05-17T00:13:00,-0.0018,0.0082,0.0769,0.0774,6
2024-05-17T00:13:30,-0.0043,0.0063,0.0565,0.0570,6
2024-05-17T00:14:00,0.0089,0.0082,-0.0073,0.0141,4
2024-05-17T00:14:30,0.0035,0.0005,0.0064,0.0073,4
2024-05-17T00:15:00,-0.0141,-0.0085,0.0346,0.0383,4
2024-05-17T00:15:30,0.0163,0.0097,-0.0179,0.0260,4
2024-05-17T00:16:00,0.0546,-0.0059,0.3238,0.3284,5
2024-05-17T00:16:30,0.0025,0.0001,0.0343,0.0344,6
2024-05-17T00:17:00,0.0174,-0.0034,0.1171,0.1184,6
2024-05-17T00:17:30,0.0056,0.0017,-0.0196,0.0205,6
2024-05-17T00:18:00,0.0001,-0.0009,-0.0077,0.0077,6
2024-05-17T00:18:30,-0.0037,-0.0005,0.0147,0.0152,6
2024-05-17T00:19:00,0.0040,-0.0035,-0.0093,0.0107,6
2024-05-17T00:19:30,0.0013,-0.0010,-0.0145,0.0146,6
2024-05-17T00:20:00,0.0001,-0.0021,-0.0625,0.0626,6
2024-05-17T00:20:30,0.0027,-0.0021,0.0195,0.0198,7
2024-05-17T00:21:00,0.0028,-0.0024,0.0426,0.0428,7
2024-05-17T00:21:30,0.0020,-0.0001,0.0200,0.0201,7
2024-05-17T00:22:00,-0.0041,0.0014,0.0391,0.0393,7
2024-05-17T00:22:30,-0.0001,-0.0014,0.0250,0.0250,7
2024-05-17T00:23:00,-0.0033,-0.0009,0.0142,0.0146,7
2024-05-17T00:23:30,-0.0051,0.0005,0.0212,0.0218,7
2024-05-17T00:24:00,-0.0048,-0.0015,0.0133,0.0142,7
2024-05-17T00:24:30,-0.0172,-0.0055,-0.0744,0.0766,7
2024-05-17T00:25:00,0.0077,0.0049,0.0733,0.0739,7
2024-05-17T00:25:30,-0.0062,-0.0003,0.0232,0.0240,6
2024-05-17T00:26:00,1.5054,0.4393,5.1286,5.3630,5
2024-05-17T00:26:30,-0.0383,-0.0110,-0.1424,0.1478,5
2024-05-17T00:27:00,-0.0070,0.0076,0.0370,0.0384,5
2024-05-17T00:27:30,0.0010,0.0226,0.1876,0.1890,6
2024-05-17T00:28:00,-0.0748,0.1390,0.9180,0.9315,6
2024-05-17T00:28:30,0.0012,0.0001,0.0189,0.0190,6
2024-05-17T00:29:00,0.0139,0.0126,0.0686,0.0711,6
2024-05-17T00:29:30,-0.0030,0.0043,0.0404,0.0408,6
2024-05-17T00:30:00,0.0042,0.0024,0.0093,0.0105,5
2024-05-17T00:30:30,-0.0024,-0.0003,0.0176,0.0178,5
2024-05-17T00:31:00,0.0000,-0.0014,0.0113,0.0114,5
2024-05-17T00:31:30,0.0022,-0.0002,-0.0130,0.0132,5
2024-05-17T00:32:00,-0.0032,0.0007,0.0185,0.0188,5
2024-05-17T00:32:30,18522.7866,98269.6758,-24493.9157,102956.1786,4
2024-05-17T00:33:00,25164.2552,128330.2348,-41485.4431,137196.6869,4
2024-05-17T00:34:30,0.0010,-0.0120,0.0109,0.0162,4
2024-05-17T00:35:00,0.0092,0.0216,-0.0096,0.0254,4
2024-05-17T00:35:30,0.0200,0.0737,-0.0412,0.0868,5
2024-05-17T00:36:00,0.0109,0.0286,0.0258,0.0401,5
2024-05-17T00:36:30,0.0187,0.0382,-0.0083,0.0433,5
2024-05-17T00:37:00,-0.0082,-0.0179,0.0483,0.0522,6
2024-05-17T00:37:30,0.0003,0.0083,-0.0243,0.0257,7
2024-05-17T00:38:00,0.0247,0.0903,-0.3032,0.3173,7
2024-05-17T00:38:30,-0.0073,-0.0212,0.0984,0.1009,7
2024-05-17T00:39:00,-0.0007,0.0096,-0.0132,0.0163,8
2024-05-17T00:39:30,0.0010,0.0049,-0.0383,0.0386,8
2024-05-17T00:40:00,-0.0002,-0.0163,0.0342,0.0379,8
2024-05-17T00:40:30,-0.0007,-0.0050,0.0129,0.0139,8
2024-05-17T00:41:00,-0.0017,-0.0016,-0.0032,0.0040,8
2024-05-17T00:41:30,-0.0003,-0.0010,-0.0199,0.0200,8
2024-05-17T00:42:00,-0.0010,0.0021,-0.0528,0.0529,9
2024-05-17T00:42:30,0.0030,-0.0035,-0.0118,0.0127,9
2024-05-17T00:43:00,0.0016,0.0054,-0.0701,0.0703,9
2024-05-17T00:43:30,-0.0018,nan,nan,nan,21
2024-05-17T00:44:00,0.0008,nan,nan,nan,21
2024-05-17T00:44:30,0.0003,nan,nan,nan,21
2024-05-17T00:45:00,0.0012,nan,nan,nan,21
2024-05-17T00:45:30,-0.0010,nan,nan,nan,21
2024-05-17T00:46:00,0.0010,0.0004,0.0228,0.0229,9
