time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-30T00:00:30,-0.0012,-0.0065,-0.0705,0.0708,6
2024-05-30T00:01:00,-0.0001,-0.0017,0.0087,0.0089,6
2024-05-30T00:01:30,-0.0005,0.0059,0.0655,0.0658,7
2024-05-30T00:02:00,0.0012,-0.0003,0.0142,0.0143,7
2024-05-30T00:02:30,0.0010,-0.0038,-0.2102,0.2102,7
2024-05-30T00:03:00,-0.0002,0.0009,0.1112,0.1112,8
2024-05-30T00:03:30,0.0013,0.0006,0.1183,0.1183,9
2024-05-30T00:04:00,-0.0029,0.0028,0.0277,0.0279,9
2024-05-30T00:04:30,0.0003,0.0026,-0.0731,0.0732,10
2024-05-30T00:05:00,0.0001,0.0015,-0.0487,0.0488,10
2024-05-30T00:05:30,-0.0022,-0.0013,0.0197,0.0199,10
2024-05-30T00:06:00,0.0008,0.0003,0.0423,0.0423,10
2024-05-30T00:06:30,-0.0003,-0.0017,0.0655,0.0656,10
2024-05-30T00:07:00,0.0010,-0.0019,-0.0225,0.0226,10
2024-05-30T00:07:30,-0.0003,0.0001,0.0123,0.0123,10
2024-05-30T00:08:00,-0.0035,0.0052,-0.0731,0.0733,10
2024-05-30T00:08:30,0.0015,-0.0003,0.0067,0.0069,10
2024-05-30T00:09:00,-0.0028,-0.0009,0.0383,0.0384,9
2024-05-30T00:09:30,-0.0037,0.0094,-0.0664,0.0672,9
2024-05-30T00:10:00,0.0005,0.0037,-0.0996,0.0997,7
2024-05-30T00:10:30,0.0009,0.0006,-0.0834,0.0834,6
2024-05-30T00:11:00,0.0037,-0.0092,-0.0184,0.0209,6
2024-05-30T00:11:30,-0.0020,0.0057,-0.0070,0.0093,6
2024-05-30T00:12:00,0.0011,-0.0133,-0.0055,0.0145,6
2024-05-30T00:12:30,0.0021,-0.0010,-0.0220,0.0221,7
2024-05-30T00:13:00,0.0049,-0.0154,0.0001,0.0162,7
2024-05-30T00:13:30,-0.0002,0.0092,0.0202,0.0222,7
2024-05-30T00:14:00,0.0053,-0.0060,0.0389,0.0398,7
2024-05-30T00:14:30,-0.0029,0.0040,0.0044,0.0066,7
2024-05-30T00:15:00,-0.0005,0.0120,-0.0263,0.0289,7
2024-05-30T00:15:30,-0.0008,-0.0024,0.0027,0.0037,8
2024-05-30T00:16:00,0.0028,-0.0019,0.0174,0.0177,8
2024-05-30T00:16:30,0.0026,-0.0102,0.0248,0.0269,8
2024-05-30T00:17:00,-0.0015,-0.0010,-0.0044,0.0047,7
2024-05-30T00:17:30,0.0020,0.0044,-0.0127,0.0136,6
2024-05-30T00:18:00,0.0022,0.0044,-0.0178,0.0185,6
2024-05-30T00:18:30,0.0016,-0.0069,0.0186,0.0199,6
2024-05-30T00:19:00,0.0034,-0.0099,0.0259,0.0279,6
2024-05-30T00:19:30,-0.0032,0.0116,-0.0194,0.0228,6
2024-05-30T00:20:00,-0.0013,0.0030,0.0050,0.0060,6
2024-05-30T00:20:30,-0.0006,-0.0043,0.0311,0.0314,7
2024-05-30T00:21:00,-0.0021,0.0072,-0.0191,0.0205,8
2024-05-30T00:21:30,-0.0002,0.0003,0.0148,0.0148,8
2024-05-30T00:22:00,0.0055,-0.0111,0.0123,0.0174,9
2024-05-30T00:22:30,0.0033,-0.0070,0.0192,0.0207,9
2024-05-30T00:23:00,-0.0037,0.0026,-0.0025,0.0052,9
2024-05-30T00:23:30,-0.0009,-0.0003,0.0146,0.0147,9
2024-05-30T00:24:00,0.0032,-0.0035,0.0173,0.0179,9
2024-05-30T00:24:30,0.0004,-0.0031,-0.0009,0.0032,9
2024-05-30T00:25:00,0.0003,-0.0056,-0.0115,0.0128,9
2024-05-30T00:25:30,-0.0024,-0.0039,-0.0162,0.0168,9
2024-05-30T00:26:00,-0.0016,-0.0004,-0.0027,0.0032,9
2024-05-30T00:26:30,-0.0018,0.0037,0.0149,0.0155,10
2024-05-30T00:27:00,0.0012,-0.0005,-0.0219,0.0220,10
2024-05-30T00:27:30,0.0005,0.0003,0.0282,0.0282,10
2024-05-30T00:28:00,0.0052,-0.0018,-0.0063,0.0084,10
2024-05-30T00:28:30,0.0002,0.0003,0.0125,0.0125,10
2024-05-30T00:29:00,-0.0012,nan,nan,nan,21
2024-05-30T00:29:30,0.0001,nan,nan,nan,21
2024-05-30T00:30:00,-0.0001,nan,nan,nan,21
2024-05-30T00:30:30,-0.0017,nan,nan,nan,21
2024-05-30T00:31:00,-0.0005,0.0038,0.0475,0.0477,10
2024-05-30T00:31:30,0.0001,0.0013,0.0244,0.0244,10
2024-05-30T00:32:00,0.0034,0.0005,-0.0002,0.0035,10
2024-05-30T00:32:30,-0.0023,0.0004,0.0309,0.0310,10
2024-05-30T00:33:00,0.0010,0.0012,-0.0287,0.0288,10
2024-05-30T00:33:30,-0.0012,-0.0018,-0.0035,0.0041,11
2024-05-30T00:34:00,0.0021,0.0067,-0.0510,0.0515,11
2024-05-30T00:34:30,0.0003,-0.0049,-0.0035,0.0060,11
2024-05-30T00:35:00,0.0016,0.0012,-0.0354,0.0354,11
2024-05-30T00:35:30,0.0010,0.0046,0.0283,0.0287,11
2024-05-30T00:36:00,-0.0058,-0.0016,0.0025,0.0066,9
2024-05-30T00:36:30,0.0034,0.0058,0.0121,0.0139,9
2024-05-30T00:37:00,0.0038,-0.0040,-0.0291,0.0296,8
2024-05-30T00:37:30,0.0024,-0.0021,0.0000,0.0032,8
2024-05-30T00:38:00,-0.0009,-0.0058,-0.0223,0.0231,8
2024-05-30T00:38:30,-0.0042,-0.0063,-0.0471,0.0477,8
2024-05-30T00:39:00,-0.0003,-0.0018,0.0090,0.0092,8
2024-05-30T00:39:30,-0.0017,-0.0031,0.0157,0.0161,7
2024-05-30T00:40:00,0.0066,0.0080,0.0837,0.0844,7
2024-05-30T00:40:30,-0.0021,0.0141,0.2759,0.2762,6
2024-05-30T00:41:00,-0.0000,-0.0097,-0.1810,0.1813,6
2024-05-30T00:41:30,0.0059,0.0044,0.1468,0.1469,6
2024-05-30T00:42:00,0.0003,-0.0031,0.0621,0.0622,6
2024-05-30T00:42:30,0.0124,-0.0047,0.0948,0.0958,6
2024-05-30T00:43:00,0.0051,0.0032,0.0311,0.0317,6
2024-05-30T00:43:30,0.0023,-0.0051,0.0178,0.0187,6
2024-05-30T00:44:00,-0.0005,0.0062,0.0311,0.0317,6
2024-05-30T00:44:30,-0.0034,0.0001,-0.0119,0.0124,6
2024-05-30T00:45:00,-0.0069,0.0079,-0.0321,0.0338,6
2024-05-30T00:45:30,-0.0080,0.0118,-0.0316,0.0346,7
2024-05-30T00:46:00,0.0104,-0.0168,0.0486,0.0525,8
2024-05-30T00:46:30,0.0025,-0.0002,0.0124,0.0127,8
2024-05-30T00:47:00,-0.0045,0.0029,-0.0172,0.0180,8
2024-05-30T00:47:30,-0.0017,-0.0026,0.0070,0.0077,8
2024-05-30T00:48:00,-0.0019,-0.0007,0.0213,0.0214,8
2024-05-30T00:48:30,0.0023,-0.0011,-0.0039,0.0047,8
2024-05-30T00:49:00,-0.0006,-0.0048,-0.0220,0.0226,8
2024-05-30T00:49:30,0.0029,-0.0023,0.0317,0.0319,8
2024-05-30T00:50:00,0.0043,-0.0031,0.0620,0.0622,8
2024-05-30T00:50:30,0.0059,-0.0039,0.0332,0.0339,8
2024-05-30T00:51:00,0.0065,-0.0002,0.0286,0.0294,9
