time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-04T00:00:30,-0.0015,0.0004,0.0104,0.0105,7
2024-05-04T00:01:00,0.0030,0.0049,-0.0267,0.0273,7
2024-05-04T00:01:30,0.0030,-0.0006,-0.0029,0.0042,6
2024-05-04T00:02:00,-0.0013,-0.0027,0.0135,0.0138,6
2024-05-04T00:02:30,0.0011,0.0037,-0.0467,0.0469,6
2024-05-04T00:03:00,0.0017,-0.0059,-0.0489,0.0493,6
2024-05-04T00:03:30,0.0007,-0.0005,0.0066,0.0067,6
2024-05-04T00:04:00,0.0019,-0.0036,0.0134,0.0141,7
2024-05-04T00:04:30,-0.0012,0.0002,0.0054,0.0055,7
2024-05-04T00:05:00,-0.0037,0.0031,-0.0022,0.0053,7
2024-05-04T00:05:30,-0.0025,-0.0018,0.0011,0.0032,7
2024-05-04T00:06:00,-0.0009,0.0020,0.0096,0.0098,7
2024-05-04T00:06:30,-0.0025,-0.0035,0.0198,0.0203,7
2024-05-04T00:07:00,0.0012,-0.0015,-0.0056,0.0059,7
2024-05-04T00:07:30,-0.0003,0.0044,-0.0158,0.0164,7
2024-05-04T00:08:00,0.0033,0.0052,-0.0129,0.0143,8
2024-05-04T00:08:30,0.0063,0.0190,-0.2179,0.2188,8
2024-05-04T00:09:00,0.0003,nan,nan,nan,21
2024-05-04T00:09:30,0.0021,nan,nan,nan,21
2024-05-04T00:10:00,-0.0029,nan,nan,nan,21
2024-05-04T00:10:30,0.0013,nan,nan,nan,21
2024-05-04T00:11:00,0.0022,-0.0004,0.0054,0.0058,8
2024-05-04T00:11:30,0.0024,-0.0038,0.0687,0.0688,8
2024-05-04T00:12:00,-0.0089,0.0082,-0.1202,0.1208,8
2024-05-04T00:12:30,-0.0008,0.0013,-0.0322,0.0322,8
2024-05-04T00:13:00,0.0028,-0.0056,0.0232,0.0241,7
2024-05-04T00:13:30,0.0011,0.0001,0.0304,0.0305,7
2024-05-04T00:14:00,-0.0035,0.0049,-0.0190,0.0199,7
2024-05-04T00:14:30,0.0009,-0.0025,0.0330,0.0331,8
2024-05-04T00:15:00,0.0023,-0.0041,0.0136,0.0144,8
2024-05-04T00:15:30,0.0040,-0.0037,0.0064,0.0084,8
2024-05-04T00:16:00,-0.0025,0.0069,-0.0048,0.0088,8
2024-05-04T00:16:30,0.0023,-0.0078,0.0561,0.0567,8
2024-05-04T00:17:00,-0.0119,0.0271,-0.1500,0.1529,8
2024-05-04T00:17:30,0.0071,-0.0158,0.1192,0.1204,8
2024-05-04T00:18:00,0.0010,0.0075,-0.0111,0.0135,7
2024-05-04T00:18:30,0.0017,-0.0039,0.0071,0.0083,7
2024-05-04T00:19:00,0.0047,-0.0096,0.0275,0.0295,7
2024-05-04T00:19:30,0.0023,0.0002,0.0073,0.0076,7
2024-05-04T00:20:00,-0.0024,-0.0107,-0.0238,0.0262,7
2024-05-04T00:20:30,0.0042,-0.0185,0.0287,0.0344,7
2024-05-04T00:21:00,0.0000,-0.0094,0.0625,0.0632,7
2024-05-04T00:21:30,0.0009,-0.0096,-0.0025,0.0100,7
2024-05-04T00:22:00,-0.0004,-0.0081,0.0360,0.0369,7
2024-05-04T00:22:30,-0.0010,-0.0033,0.0273,0.0275,7
2024-05-04T00:23:00,0.0038,-0.0189,0.0546,0.0579,7
2024-05-04T00:23:30,-0.0027,-0.0111,0.0406,0.0422,7
2024-05-04T00:24:00,-0.0019,0.0043,-0.0336,0.0339,7
2024-05-04T00:24:30,0.0024,0.0101,-0.0434,0.0447,6
2024-05-04T00:25:00,0.5484,-4.4743,5.1482,6.8428,6
2024-05-04T00:25:30,0.4642,-4.1863,4.5613,6.2086,6
2024-05-04T00:26:00,0.4242,-4.1398,4.1993,5.9120,6
2024-05-04T00:26:30,4613.7275,-46429.1121,6525.7330,47111.9318,6
2024-05-04T00:27:00,5727.9312,-62727.2771,4888.9190,63177.7019,5
2024-05-04T00:27:30,6249.2026,-74485.1014,1168.2494,74755.9206,6
2024-05-04T00:28:00,6655.4474,-86358.8485,-4194.5276,86716.4330,6
2024-05-04T00:28:30,7101.8363,-100363.5059,-11660.7615,101287.9201,5
2024-05-04T00:29:00,-0.0044,0.0015,0.0256,0.0260,6
2024-05-04T00:29:30,0.0043,0.0008,0.0131,0.0138,6
2024-05-04T00:30:00,0.0033,-0.0099,-0.0312,0.0329,6
2024-05-04T00:30:30,0.0039,-0.0127,0.0393,0.0415,6
2024-05-04T00:31:00,0.0016,-0.0084,0.0191,0.0209,7
2024-05-04T00:31:30,-0.0001,0.0009,0.0874,0.0874,6
2024-05-04T00:32:00,-0.0039,0.0014,-0.0224,0.0228,6
2024-05-04T00:32:30,0.0012,0.0006,0.0167,0.0168,6
2024-05-04T00:33:00,-0.0017,-0.0018,0.1801,0.1801,6
2024-05-04T00:33:30,-0.0047,-0.0004,-0.1567,0.1568,6
2024-05-04T00:34:00,0.0005,0.0010,-0.0132,0.0132,6
2024-05-04T00:34:30,0.0006,-0.0036,-0.0090,0.0097,6
2024-05-04T00:35:00,0.0026,0.0026,0.0244,0.0247,7
2024-05-04T00:35:30,0.0008,-0.0188,-0.1637,0.1648,7
2024-05-04T00:36:00,0.0037,0.0072,0.0695,0.0700,7
2024-05-04T00:36:30,-0.0021,0.0033,-0.0049,0.0063,7
2024-05-04T00:37:00,-0.0004,-0.0050,0.0211,0.0217,6
2024-05-04T00:37:30,0.0023,0.0027,-0.0641,0.0642,6
2024-05-04T00:38:00,-0.0005,-0.0689,-0.0441,0.0817,7
2024-05-04T00:38:30,0.0008,-0.0564,-0.0224,0.0607,7
2024-05-04T00:39:00,-0.0038,-0.0299,-0.0299,0.0424,7
2024-05-04T00:39:30,-0.0007,-0.0095,-0.0169,0.0193,7
2024-05-04T00:40:00,0.0019,-0.0207,0.0258,0.0332,6
2024-05-04T00:40:30,-0.0036,0.0167,0.0390,0.0426,7
2024-05-04T00:41:00,-0.0033,-0.0053,0.0793,0.0796,7
2024-05-04T00:41:30,0.0043,-0.0249,0.0020,0.0253,7
2024-05-04T00:42:00,0.0017,0.0133,-0.0208,0.0248,7
2024-05-04T00:42:30,-0.0045,0.0119,-0.0037,0.0133,7
2024-05-04T00:43:00,-0.0012,0.0073,0.0294,0.0303,7
2024-05-04T00:43:30,-0.0007,0.0059,-0.0175,0.0185,7
2024-05-04T00:44:00,-0.0021,0.0291,0.0012,0.0292,7
2024-05-04T00:44:30,-0.0021,0.0144,0.0150,0.0209,7
2024-05-04T00:45:00,-0.0022,-0.0155,0.0060,0.0167,7
2024-05-04T00:45:30,0.0023,-0.0038,-0.0226,0.0230,7
2024-05-04T00:46:00,-0.0012,0.0058,0.0197,0.0206,7
2024-05-04T00:46:30,0.0046,-0.0032,-0.0159,0.0169,7
2024-05-04T00:47:00,0.0029,-0.0156,-0.0751,0.0767,7
2024-05-04T00:47:30,0.0002,-0.0121,-0.0100,0.0157,7
2024-05-04T00:48:00,0.0044,-0.0024,-0.0024,0.0055,7
2024-05-04T00:48:30,0.0029,0.0012,0.0040,0.0051,7
2024-05-04T00:49:00,0.0036,-0.0062,-0.0812,0.0816,7
2024-05-04T00:49:30,-0.0034,0.0011,0.0134,0.0139,7
2024-05-04T00:50:00,-0.0029,0.0067,0.0619,0.0623,8
2024-05-04T00:50:30,-0.0013,0.0043,0.0762,0.0764,8
2024-05-04T00:51:00,-0.0032,-0.0020,0.0267,0.0270,8
2024-05-04T00:51:30,0.0033,-0.0006,0.0235,0.0237,9
2024-05-04T00:52:00,0.0008,-0.0062,0.0070,0.0094,9
2024-05-04T00:52:30,0.0003,0.0031,-0.0316,0.0318,9
2024-05-04T00:53:00,0.0014,-0.0025,-0.0278,0.0279,9
2024-05-04T00:53:30,-0.0004,0.0009,-0.0092,0.0092,10
2024-05-04T00:54:00,-0.0031,0.0021,0.0033,0.0050,11
2024-05-04T00:54:30,0.0030,-0.0004,0.0051,0.0059,11
2024-05-04T00:55:00,0.0012,0.0002,-0.0108,0.0109,11
2024-05-04T00:55:30,-0.0008,-0.0024,0.0215,0.0216,11
2024-05-04T00:56:00,-0.0010,nan,nan,nan,21
2024-05-04T00:56:30,-0.0010,nan,nan,nan,21
2024-05-04T00:57:00,-0.0011,nan,nan,nan,21
2024-05-04T00:57:30,0.0021,nan,nan,nan,21
2024-05-04T00:58:00,0.0031,nan,nan,nan,21
2024-05-04T00:58:30,0.0008,-0.0019,0.0055,0.0059,11
2024-05-04T00:59:00,0.0008,-0.0021,0.0105,0.0107,11
2024-05-04T00:59:30,-0.0017,0.0001,-0.0003,0.0018,11
2024-05-04T01:00:00,0.0002,0.0052,0.0118,0.0129,10
2024-05-04T01:00:30,0.0005,0.0002,-0.0252,0.0252,10
2024-05-04T01:01:00,0.0008,-0.0008,-0.0147,0.0148,10
2024-05-04T01:01:30,0.0002,0.0053,0.0209,0.0215,10
2024-05-04T01:02:00,-0.0027,0.0003,-0.0038,0.0046,9
2024-05-04T01:02:30,-0.0012,-0.0000,0.0085,0.0086,9
2024-05-04T01:03:00,0.0019,-0.0023,0.0062,0.0069,9
2024-05-04T01:03:30,0.0018,0.0104,0.0544,0.0554,7
2024-05-04T01:04:00,0.0009,-0.0032,-0.0356,0.0358,7
2024-05-04T01:04:30,-0.0054,0.0014,-0.0256,0.0262,7
2024-05-04T01:05:00,-0.0142,-0.0035,-0.0166,0.0221,7
2024-05-04T01:05:30,0.0015,0.0040,-0.0227,0.0230,7
2024-05-04T01:06:00,-0.0025,0.0051,-0.0123,0.0135,7
2024-05-04T01:06:30,0.0006,-0.0271,0.0461,0.0535,7
2024-05-04T01:07:00,0.0065,-0.0300,0.0179,0.0355,7
2024-05-04T01:07:30,-0.0038,-0.0004,0.0479,0.0480,6
2024-05-04T01:08:00,74535.7223,73398.0433,-59805.3346,120496.9904,6
2024-05-04T01:08:30,136764.2832,126152.9581,-114455.7150,218447.1302,5
2024-05-04T01:09:00,189953.0493,163424.5568,-164725.7456,299873.8368,5
2024-05-04T01:09:30,236377.4013,188817.9347,-211212.4042,368967.7059,4
