time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714348830.0,-133525.55339778806,-377356.96228874224,6844965.206856041,-6571.793298784949,-227982.88885814275,-8947.40399272088,142635.62603449955,nan,nan,21
1714348860.0,-140946.6298732978,-604893.567887413,6828423.644323744,-13992.869774294682,-455519.49445681344,-25488.966525018215,284335.1035863064,nan,nan,7
1714348890.0,-149206.3456738157,-831729.2696201279,6804302.898551645,-22252.58557481259,-682355.1961895283,-49609.71229711734,424941.6490810367,nan,nan,7
1714348920.0,-158291.96725209703,-1057610.2771949503,6772628.894444188,-31338.20715309393,-908236.2037643507,-81283.71640457399,564300.6089571784,nan,nan,7
1714348950.0,-168188.65973611033,-1282284.3517067095,6733439.855944956,-41234.89963710723,-1132910.27827611,-120472.75490380637,702259.9354982509,nan,nan,9
1714348980.0,-178879.73276354378,-1505500.0594296097,6686776.558938714,-51925.97266454068,-1356125.9859990103,-167136.05191004835,838669.5162643885,nan,nan,9
1714349010.0,-190346.43675113865,-1727007.7773511566,6632690.150391293,-63392.676652135546,-1577633.7039205572,-221222.46045746934,973381.9805201942,nan,nan,8
1714349040.0,-202568.11617104762,-1946559.8441702374,6571240.134209039,-75614.35607204451,-1797185.770739638,-282672.4766397234,1106252.6802292934,nan,nan,8
1714349070.0,-215522.21952648158,-2163910.88504597,6502494.27265565,-88568.45942747848,-2014536.8116153704,-351418.33819311205,1237139.8927625595,nan,nan,8
1714349100.0,-229184.19701628518,-2378817.3900254345,6426526.7130190395,-102230.43691728207,-2229443.316594835,-427385.8978297226,1365904.625862274,nan,nan,8
1714349130.0,-243527.7898890394,-2591039.599754129,6343422.503300077,-116574.02979003631,-2441665.5263235294,-510490.1075486848,1492411.6183595976,nan,nan,7
1714349160.0,-258524.91078610913,-2800339.4882290964,6253271.226449513,-131571.150687106,-2650965.4147984968,-600641.3843992492,1616528.1249682815,nan,nan,7
1714349190.0,-274145.6902819855,-3006483.6147703514,6156173.467077826,-147191.9301829824,-2857109.541339752,-697739.143770936,1738125.7277769195,nan,nan,7
1714349220.0,-290358.55851494736,-3209241.049849442,6052235.107904888,-163404.79841594427,-3059866.9764188426,-801677.5029438743,1857078.9308018053,nan,nan,7
1714349250.0,-307130.14227227226,-3408383.8258645954,5941568.317250307,-180176.38217326917,-3259009.7524339957,-912344.2935984554,1973265.5303302868,nan,nan,7
1714349280.0,-324425.78282892203,-3603691.308403283,5824299.077961059,-197472.02272991894,-3454317.2349726832,-1029613.5328877028,2086569.051198035,nan,nan,7
1714349310.0,-342209.0243998137,-3794944.2626988045,5700554.909996735,-215255.26430081058,-3645570.189268205,-1153357.7008520272,2196875.2939752084,nan,nan,7
1714349340.0,-360441.9315539332,-3981928.4452419374,5570471.68259696,-233488.1714549301,-3832554.371811338,-1283440.928251802,2304074.41905536,nan,nan,6
1714349370.0,-379085.1652416696,-4164434.727185671,5434192.930637717,-252131.40514266648,-4015060.6537550716,-1419719.6802110448,2408060.9686421887,nan,nan,6
1714349400.0,-398098.0352264803,-4342259.034675211,5291869.116913293,-271144.2751274772,-4192884.961244611,-1562043.4939354695,2508733.7881552554,nan,nan,6
1714349430.0,-417438.4619028872,-4515201.529250039,5143656.32136785,-290484.7018038841,-4365827.455819439,-1710256.2894809125,2605995.5245468784,nan,nan,6
1714349460.0,-437063.3201279967,-4683070.296451343,4989720.132124796,-310109.5600289936,-4533696.223020744,-1864192.4787239665,2699754.7530767135,nan,nan,6
1714349490.0,-456928.1802126156,-4845677.200673274,4830230.118569086,-329974.4201136125,-4696303.127242674,-2023682.4922796758,2789923.4902453814,nan,nan,6
1714349520.0,-476987.5339440252,-5002840.161515898,4665362.416490795,-350033.77384502214,-4853466.088085298,-2188550.194357967,2876418.4957513995,nan,nan,6
1714349550.0,-497194.9081675912,-5154383.718374491,4495299.681482891,-370241.1480685881,-5005009.644943891,-2358612.9293658715,2959161.5515764393,nan,nan,5
1714349580.0,-517502.86377518316,-5300138.296687987,4320229.994566552,-390549.10367618006,-5150764.223257387,-2533682.6162822098,3038078.9875739613,nan,nan,6
1714349610.0,-537863.2322995489,-5439942.755089596,4140348.2327674245,-410909.47220054583,-5290568.681658996,-2713564.3780813375,3113103.150741133,nan,nan,6
1714349640.0,-558226.7968751042,-5573638.347115331,3955852.4356277077,-431273.0367761011,-5424264.273684732,-2898060.1752210543,3184168.737882798,nan,nan,7
1714349670.0,-578544.0645876399,-5701078.547121283,3766948.7483559777,-451590.3044886368,-5551704.473690683,-3086963.8624927844,3251218.570426769,nan,nan,7
1714349700.0,-598764.7332795167,-5822121.602194843,3573846.7998125083,-471810.9731805136,-5672747.528764243,-3280065.811036254,3314199.1772753205,nan,nan,7
1714349730.0,-618837.8492924372,-5936630.7983452,3376760.087169883,-491884.0891934341,-5787256.7249146,-3477152.5236788793,3373060.846995782,nan,nan,6
1714349760.0,-638712.3233239144,-6044480.313840838,3175908.315889452,-511758.56322491134,-5895106.2404102385,-3678004.29495931,3427761.025409366,nan,nan,6
1714349790.0,-658336.6331386088,-6145550.549186081,2971514.8175385613,-531382.8730396057,-5996176.475755481,-3882397.793310201,3478261.517780821,nan,nan,6
1714349820.0,-677659.0332595205,-6239729.836006881,2763806.963634406,-550705.2731605174,-6090355.762576281,-4090105.647214356,3524529.4357242812,nan,nan,6
1714349850.0,-696627.6269333574,-6326914.159143312,2553015.968563911,-569673.8668343544,-6177540.085712712,-4300896.6422848515,3566536.962392779,nan,nan,6
1714349880.0,-715190.4890297577,-6407007.743926042,2339376.565058616,-588236.7289307546,-6257633.670495442,-4514536.045790146,3604261.63915608,nan,nan,6
1714349910.0,-733295.6936037673,-6479922.60332755,2123126.7015815563,-606341.9335047642,-6330548.52989695,-4730785.909267206,3637686.05133101,nan,nan,7
1714349940.0,-750891.5046951177,-6545579.285515187,1904507.4456627248,-623937.7445961146,-6396205.212084588,-4949405.165186037,3666798.1669172817,nan,nan,7
1714349970.0,-767926.4472402431,-6603907.03340207,1683762.685082931,-640972.68714124,-6454532.959971471,-5170149.925765831,3691591.385890476,nan,nan,7
1714350000.0,-784349.3696506219,-6654843.285593121,1461138.6216469328,-657395.6095516188,-6505469.212162522,-5392773.989201829,3712064.1693283874,nan,nan,7
1714350030.0,-800109.3464642469,-6698332.148523409,1236883.2232696267,-673155.5863652438,-6548958.075092809,-5617029.387579136,3728219.124135254,nan,nan,7
1714350060.0,-815156.2649002064,-6734328.84847103,1011247.0159238398,-688202.5048012033,-6584954.77504043,-5842665.594924922,3740065.4392536394,nan,nan,7
1714350090.0,-829440.5525265449,-6762796.457192731,784481.849413882,-702486.7924275418,-6613422.383762131,-6069430.76143488,3747616.972675546,nan,nan,7
1714350120.0,-842913.3235844758,-6783706.377214378,556840.8317553008,-715959.5634854727,-6634332.303783778,-6297071.779093461,3750892.454224198,nan,nan,7
1714350150.0,-855526.5407438766,-6797039.209294005,328578.1466390514,-728572.7806448735,-6647665.135863406,-6525334.464209711,3749915.924074984,nan,nan,8
1714350180.0,-867232.9069287333,-6802782.948356235,99948.5601383232,-740279.1468297302,-6653408.874925636,-6753964.050710439,3744715.646857421,nan,nan,9
1714350210.0,-877986.4271647303,-6800936.612460709,-128792.58294520246,-751032.6670657272,-6651562.5390301095,-6982705.193793965,3735326.0336843375,nan,nan,9
1714350240.0,-887742.0189807357,-6791506.5169315105,-357390.0039358947,-760788.2588817326,-6642132.443500911,-7211302.614784657,3721785.526118745,nan,nan,9
1714350270.0,-896455.4240743348,-6774505.925126132,-585588.3315217546,-769501.6639753317,-6625131.851695532,-7439500.942370517,3704136.4373182664,nan,nan,9
1714350300.0,-904084.2921752933,-6749960.441846469,-813132.9352443973,-777130.5320762902,-6600586.36841587,-7667045.546093159,3682427.6189654516,nan,nan,9
1714350330.0,-910587.0688322894,-6717901.589702674,-1039769.726505562,-783633.3087332863,-6568527.516272075,-7893682.337354324,3656711.1487589465,nan,nan,9
1714350360.0,-915923.9565818099,-6678370.948307272,-1265245.8651146903,-788970.1964828068,-6528996.874876672,-8119158.475963453,3627044.2785951835,nan,nan,10
1714350390.0,-920056.4213893511,-6631417.117453258,-1489309.6234697325,-793102.661290348,-6482043.044022658,-8343222.234318495,3593487.8439827096,nan,nan,10
1714350420.0,-922947.7534500016,-6577099.342009711,-1711711.2175635593,-795993.9933509985,-6427725.268579111,-8565623.82841232,3556108.184231576,nan,nan,10
1714350450.0,-924562.7465676101,-6515483.620294894,-1932202.6159410316,-797608.986468607,-6366109.546864294,-8786115.226789793,3514974.866516083,nan,nan,9
1714350480.0,-924867.8910933059,-6446644.05212051,-2150537.6746511706,-797914.1309943028,-6297269.97868991,-9004450.285499932,3470161.411862479,nan,nan,9
1714350510.0,-923831.5749767862,-6370664.190283538,-2366473.2243487528,-796877.8148777831,-6221290.116852938,-9220385.835197516,3421746.0171875968,nan,nan,9
1714350540.0,-921424.053900382,-6287635.052596008,-2579768.6912852908,-794470.2938013789,-6138260.979165409,-9433681.302134052,3369810.2906337893,nan,nan,9
1714350570.0,-917617.5000988046,-6197655.635561075,-2790186.516352022,-790663.7399998015,-6048281.562130475,-9644099.127200784,3314439.547029393,nan,nan,9
1714350600.0,-912386.1327601905,-6100832.943884681,-2997492.5516835754,-785432.3726611874,-5951458.870454081,-9851405.162532337,3255722.7276383247,nan,nan,8
1714350630.0,-905706.1997692224,-5997281.465008689,-3201456.1115375548,-778752.4396702193,-5847907.391578089,-10055368.722386317,3193752.0737756817,nan,nan,8
1714350660.0,-897556.1133298585,-5887123.368056759,-3401850.251447362,-770602.3532308554,-5737749.29462616,-10255762.862296123,3128623.1523052184,nan,nan,8
1714350690.0,-887916.4766055084,-5770488.405694841,-3598452.432511216,-760962.7165065053,-5621114.332264242,-10452365.043359978,3060434.7717844294,nan,nan,7
1714350720.0,-876770.057271941,-5647510.482569121,-3791041.8592903716,-749816.2971729379,-5498136.409138521,-10644954.470139135,2989286.7803151626,nan,nan,6
1714350750.0,-864101.9401298832,-5518340.935727023,-3979410.598355317,-737148.1800308801,-5368966.862296423,-10833323.20920408,2915288.5497417245,nan,nan,7
1714350780.0,-849899.5237396769,-5383123.678290493,-4163344.0264075953,-722945.7636406738,-5233749.604859893,-11017256.637256358,2838542.881099929,nan,nan,6
1714350810.0,-834152.6861997877,-5242019.047701092,-4342640.675950801,-707198.9261007846,-5092644.974270493,-11196553.286799563,2759161.322573197,nan,nan,6
1714350840.0,-816853.5989645885,-5095190.398844777,-4517101.126112184,-689899.8388655854,-4945816.325414177,-11371013.736960946,2677255.628981105,nan,nan,5
1714350870.0,-797996.8040341156,-4942807.727687329,-4686531.729859283,-671043.0439351125,-4793433.654256729,-11540444.340708045,2592940.049652068,nan,nan,5
1714350900.0,-777579.5878592248,-4785048.448811171,-4850746.086800632,-650625.8277602217,-4635674.375380571,-11704658.697649393,2506331.5470547164,nan,nan,6
1714350930.0,-755601.5069426565,-4622094.363582483,-5009561.978405685,-628647.7468436534,-4472720.290151883,-11863474.589254446,2417548.194843806,nan,nan,6
1714350960.0,-732064.4916216909,-4454132.67363139,-5162802.705855396,-605110.7315226878,-4304758.60020079,-12016715.316704158,2326709.7551166285,nan,nan,6
1714350990.0,-706973.8484093338,-4281359.2238446735,-5310302.340747559,-580020.0883103308,-4131985.150414074,-12164214.951596322,2233939.01483673,nan,nan,6
1714351020.0,-680336.1611040792,-4103969.9471866703,-5451894.30954836,-553382.4010050761,-3954595.8737560706,-12305806.920397121,2139357.8447475447,nan,nan,6
1714351050.0,-652161.5001603933,-3922169.469728345,-5587423.84231094,-525207.7400613902,-3772795.3962977454,-12441336.453159701,2043091.088558724,nan,nan,6
1714351080.0,-622462.2199353286,-3736165.9657338206,-5716741.258981745,-495508.4598363255,-3586791.892303221,-12570653.869830508,1945264.1475355453,nan,nan,6
1714351110.0,-591253.405409265,-3546172.4194846353,-5839704.349898266,-464299.64531026187,-3396798.3460540357,-12693616.960747028,1846003.4572742619,nan,nan,6
1714351140.0,-558552.6736226095,-3352406.061436277,-5956177.989560035,-431598.9135236064,-3203031.9880056772,-12810090.600408796,1745436.2738537681,nan,nan,6
1714351170.0,-524380.1729466217,-3155087.7803444834,-6066033.924205249,-397426.4128476186,-3005713.706913884,-12919946.535054011,1643690.2936804702,nan,nan,6
1714351200.0,-488758.6251606488,-2954442.2108690613,-6169151.170178492,-361804.8650616457,-2805068.1374384617,-13023063.781027254,1540893.6781592697,nan,nan,6
1714351230.0,-451713.3507265984,-2750697.5892384658,-6265416.561315854,-324759.5906275953,-2601323.515807866,-13119329.172164615,1437174.9409625109,nan,nan,6
1714351260.0,-413272.2193277781,-2544085.1963596926,-6354724.174662111,-286318.459228775,-2394711.122929093,-13208636.785510873,1332662.6250725747,nan,nan,6
1714351290.0,-373465.6615976079,-2334839.395349124,-6436976.104261549,-246511.9014986048,-2185465.3219185243,-13290888.715110311,1227485.3181501087,nan,nan,6
1714351320.0,-332326.59950433666,-2123197.1342482767,-6512082.060680257,-205372.83940533357,-1973823.0608176773,-13365994.67152902,1121771.3835346922,nan,nan,6
1714351350.0,-289890.47358956235,-1909397.810083359,-6579959.825524104,-162936.71349055925,-1760023.7366527596,-13433872.436372865,1015648.8514538673,nan,nan,6
1714351380.0,-246195.17974934098,-1693682.9065733796,-6640534.95625578,-119241.41965033788,-1544308.8331427802,-13494447.56710454,909245.2325718261,nan,nan,6
1714351410.0,-201281.0426155307,-1476295.795437881,-6693741.174441331,-74327.28251652759,-1326921.7220072816,-13547653.785290092,802687.4095977867,nan,nan,6
1714351440.0,-155190.80920238595,-1257481.4112187708,-6739520.233607452,-28237.049103382844,-1108107.3377881714,-13593432.844456214,696101.4315396802,nan,nan,6
1714351470.0,-107969.55852864342,-1037486.0100182585,-6777822.115711931,18984.201570359684,-888111.936587659,-13631734.726560693,589612.4263270212,nan,nan,6
1714351500.0,-59664.67875056996,-816556.8599469096,-6808605.088754577,67289.08134843314,-667182.7865163101,-13662517.699603338,483344.4177671466,nan,nan,7
1714351530.0,-10325.86627691978,-594942.0077652256,-6831835.572050399,116627.89382208332,-445567.9343346261,-13685748.182899162,377420.1750951995,nan,nan,8
1714351560.0,39995.033651759986,-372889.91539422015,-6847487.627108853,166948.79375076308,-223515.84196362065,-13701400.237957615,271961.0990506605,nan,nan,21
1714351590.0,91243.94474291884,-150649.41113608427,-6855545.603007791,218197.70484192195,-1275.337705484766,-13709458.213856552,167087.12763779057,nan,nan,21
1714351620.0,143364.73849918178,71530.88725770293,-6856000.230896884,270318.4985981849,220904.9606883024,-13709912.841745645,62916.4987779613,nan,nan,21
1714351650.0,196299.2205932107,293402.66170751164,-6848851.221101137,323252.9806922138,442776.73513811117,-13702763.831949899,-40434.31778777632,nan,nan,21
1714351680.0,249987.24812509242,514718.24125870876,-6834107.729378169,376941.0082240955,664092.3146893083,-13688020.340226931,-142850.7561643534,nan,nan,10
1714351710.0,304366.6908838238,735230.6822069344,-6811784.362569081,431320.4509828269,884604.755637534,-13665696.973417843,-244220.23571010446,nan,nan,10
1714351740.0,359373.62172993534,954694.3535544709,-6781905.523753464,486327.38182893844,1104068.4269850703,-13635818.134602226,-344432.39511522267,nan,nan,10
1714351770.0,414942.504064209,1172865.160461964,-6744506.364302156,541896.2641632122,1322239.2338925635,-13598418.975150917,-443379.0942640268,nan,nan,9
1714351800.0,471005.6246820401,1389500.036551728,-6699625.652414199,597959.3847810433,1538874.1099823273,-13553538.263262961,-540954.5175981885,nan,nan,8
1714351830.0,527494.0974387713,1604358.4763146173,-6647313.618431543,654447.8575377744,1753732.5497452167,-13501226.229280304,-637055.4017452076,nan,nan,8
1714351860.0,584337.3673934065,1817202.03182323,-6587628.124504606,711291.1274924095,1966576.1052538294,-13441540.73535337,-731581.0874168082,nan,nan,9
1714351890.0,641463.3970098557,2027794.606297864,-6520634.33639578,768417.1571088588,2177168.6797284638,-13374546.947244542,-824433.567643414,nan,nan,9
1714351920.0,698799.240387867,2235903.992701261,-6446408.773744894,825753.0004868701,2385278.0661318605,-13300321.384593656,-915518.0466282346,nan,nan,9
1714351950.0,756269.7764998002,2441298.6760218358,-6365029.447707722,883223.5365988032,2590672.7494524354,-13218942.058556484,-1004741.8341275455,nan,nan,10
1714351980.0,813799.3476811933,2643751.908326566,-6276586.749078703,940753.1077801964,2793125.981757166,-13130499.359927464,-1092015.7359918929,nan,nan,9
1714352010.0,871311.2307307563,2843040.5218515703,-6181178.831696972,998264.9908297594,2992414.59528217,-13035091.442545734,-1177253.6885246236,nan,nan,9
1714352040.0,928727.5616309929,3038944.704298837,-6078910.503881773,1055681.321729996,3188318.7777294368,-12932823.114730535,-1260372.6703236261,nan,nan,8
1714352070.0,985969.8503054637,3231249.3248415445,-5969895.564874145,1112923.6104044667,3380623.398272144,-12823808.175722908,-1341293.168778609,nan,nan,8
