time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-14T00:00:30,0.0282,-0.0089,0.0508,0.0588,6
2024-05-14T00:01:00,0.0082,-0.0010,0.0134,0.0157,6
2024-05-14T00:01:30,-0.0221,0.0044,-0.0396,0.0455,6
2024-05-14T00:02:00,0.0043,-0.0016,0.0044,0.0063,7
2024-05-14T00:02:30,-0.0126,-0.0011,-0.0449,0.0466,6
2024-05-14T00:03:00,0.0003,0.0006,0.0056,0.0056,6
2024-05-14T00:03:30,-0.0027,-0.0018,-0.0156,0.0160,6
2024-05-14T00:04:00,-0.0139,-0.0017,-0.0448,0.0469,6
2024-05-14T00:04:30,-0.0004,-0.0019,-0.0053,0.0056,6
2024-05-14T00:05:00,0.0261,0.0017,0.0516,0.0579,6
2024-05-14T00:05:30,-0.2947,0.0172,-0.0099,0.2954,6
2024-05-14T00:06:00,-0.7508,-0.0129,-0.0901,0.7563,6
2024-05-14T00:06:30,-0.0893,0.0003,-0.0551,0.1050,6
2024-05-14T00:07:00,-0.0876,-0.0063,-0.0636,0.1085,7
2024-05-14T00:07:30,-0.0262,-0.0044,-0.0094,0.0282,8
2024-05-14T00:08:00,0.0049,-0.0036,0.0336,0.0341,8
2024-05-14T00:08:30,-0.0139,-0.0006,0.0263,0.0297,7
2024-05-14T00:09:00,0.0020,-0.0043,0.0335,0.0339,7
2024-05-14T00:09:30,-0.0013,0.0011,0.0040,0.0043,6
2024-05-14T00:10:00,0.0093,-0.0013,0.0134,0.0164,6
2024-05-14T00:10:30,-0.0116,-0.0014,-0.0244,0.0271,5
2024-05-14T00:11:00,-0.0130,-0.0026,0.0420,0.0441,5
2024-05-14T00:11:30,-0.0184,-0.0050,-0.0009,0.0191,5
2024-05-14T00:12:00,-0.0046,-0.0007,0.0190,0.0196,5
2024-05-14T00:12:30,-0.0115,0.0014,0.0710,0.0719,5
2024-05-14T00:13:00,-0.0126,-0.0071,-0.0895,0.0906,5
2024-05-14T00:13:30,0.0703,0.0299,0.2635,0.2743,5
2024-05-14T00:14:00,-0.0780,-0.0386,-0.2007,0.2188,5
2024-05-14T00:14:30,-0.0014,0.0002,-0.0164,0.0164,6
2024-05-14T00:15:00,-0.0719,-0.0372,-0.1398,0.1615,6
2024-05-14T00:15:30,0.0133,0.0095,0.0154,0.0224,6
2024-05-14T00:16:00,-0.0140,-0.0040,-0.0231,0.0273,6
2024-05-14T00:16:30,0.0030,0.0029,0.0183,0.0188,5
2024-05-14T00:17:00,0.0057,-0.0014,0.0212,0.0220,5
2024-05-14T00:17:30,-0.0015,0.0009,0.0026,0.0031,4
2024-05-14T00:18:00,0.0037,0.0019,0.0070,0.0082,4
2024-05-14T00:18:30,-0.0030,-0.0020,0.0190,0.0193,5
2024-05-14T00:19:00,0.0026,-0.0017,0.0043,0.0053,5
2024-05-14T00:19:30,0.0035,0.0087,-0.0801,0.0807,5
2024-05-14T00:20:00,0.2335,0.4509,-2.4104,2.4633,6
2024-05-14T00:20:30,0.0977,0.1654,-1.0717,1.0888,6
2024-05-14T00:21:00,0.0369,0.0432,-0.4315,0.4353,5
2024-05-14T00:21:30,-0.0045,-0.0053,0.0240,0.0250,5
2024-05-14T00:22:00,0.0025,0.0018,-0.0120,0.0124,5
2024-05-14T00:22:30,-0.0023,-0.0054,0.0357,0.0362,5
2024-05-14T00:23:00,-0.0013,0.0011,-0.0126,0.0127,5
2024-05-14T00:23:30,-0.0026,-0.0036,0.0158,0.0164,7
2024-05-14T00:24:00,0.0075,-0.0011,-0.0454,0.0460,7
2024-05-14T00:24:30,-0.0027,-0.0047,0.0152,0.0161,7
2024-05-14T00:25:00,0.0094,0.0002,-0.0851,0.0856,7
2024-05-14T00:25:30,0.0049,0.0037,0.0035,0.0070,7
2024-05-14T00:26:00,0.0023,-0.0003,-0.0108,0.0110,7
2024-05-14T00:26:30,-0.0032,0.0020,-0.0264,0.0267,8
2024-05-14T00:27:00,0.0025,-0.0006,-0.0120,0.0123,8
2024-05-14T00:27:30,0.0000,-0.0026,-0.0104,0.0107,8
2024-05-14T00:28:00,-0.0034,-0.0009,-0.0092,0.0098,8
2024-05-14T00:28:30,0.0006,nan,nan,nan,21
2024-05-14T00:29:00,-0.0020,nan,nan,nan,21
2024-05-14T00:29:30,0.0011,nan,nan,nan,21
2024-05-14T00:30:00,0.0005,nan,nan,nan,21
2024-05-14T00:30:30,0.0011,nan,nan,nan,21
2024-05-14T00:31:00,-0.0051,-0.0037,-0.0084,0.0105,8
2024-05-14T00:31:30,0.0018,-0.0054,0.0909,0.0911,9
2024-05-14T00:32:00,0.0063,-0.0097,0.2963,0.2965,9
2024-05-14T00:32:30,-0.0001,0.0012,-0.0198,0.0198,9
2024-05-14T00:33:00,-0.0011,0.0025,-0.0055,0.0061,8
2024-05-14T00:33:30,-0.0009,-0.0018,-0.0258,0.0258,8
2024-05-14T00:34:00,0.0006,0.0003,-0.0125,0.0126,8
2024-05-14T00:34:30,-0.0012,-0.0014,-0.0052,0.0055,8
2024-05-14T00:35:00,0.0003,-0.0024,0.0314,0.0315,8
2024-05-14T00:35:30,-0.0028,0.0007,-0.0092,0.0097,8
2024-05-14T00:36:00,-0.0021,0.0028,-0.0010,0.0036,8
2024-05-14T00:36:30,-0.0005,0.0011,-0.0080,0.0081,8
2024-05-14T00:37:00,-0.0020,-0.0058,0.0094,0.0112,8
2024-05-14T00:37:30,0.0024,-0.0009,0.0137,0.0139,7
2024-05-14T00:38:00,-0.0007,0.0023,-0.0406,0.0407,7
2024-05-14T00:38:30,0.0000,-0.0051,-0.0010,0.0052,7
2024-05-14T00:39:00,0.0009,-0.0055,-0.0110,0.0123,7
2024-05-14T00:39:30,-0.0026,-0.0014,0.0170,0.0173,7
2024-05-14T00:40:00,-0.0010,-0.0044,-0.0103,0.0113,7
2024-05-14T00:40:30,0.0005,0.0026,-0.0019,0.0032,7
2024-05-14T00:41:00,0.0007,0.0140,0.0219,0.0260,7
2024-05-14T00:41:30,-0.0022,0.0008,0.0129,0.0131,7
2024-05-14T00:42:00,0.0007,0.0082,0.0024,0.0086,7
2024-05-14T00:42:30,-0.0024,-0.0032,-0.0112,0.0119,7
2024-05-14T00:43:00,0.0018,0.0029,-0.0043,0.0055,7
2024-05-14T00:43:30,0.0021,-0.0201,-0.0192,0.0279,7
2024-05-14T00:44:00,0.0001,-0.0019,-0.0074,0.0076,6
2024-05-14T00:44:30,0.0035,0.0331,0.0607,0.0692,6
2024-05-14T00:45:00,0.0015,-0.0077,0.0033,0.0086,6
2024-05-14T00:45:30,-0.0036,0.0009,-0.0019,0.0042,6
2024-05-14T00:46:00,-0.0042,-0.0131,-0.0377,0.0401,6
2024-05-14T00:46:30,-0.0001,-0.0114,0.0007,0.0114,6
2024-05-14T00:47:00,0.0033,0.0012,0.0363,0.0365,7
2024-05-14T00:47:30,-0.0001,0.0061,-0.0012,0.0062,6
2024-05-14T00:48:00,-0.0007,0.0050,-0.0482,0.0485,7
2024-05-14T00:48:30,-0.0037,0.0035,-0.0138,0.0147,8
2024-05-14T00:49:00,0.0046,-0.0022,0.0257,0.0262,8
2024-05-14T00:49:30,0.0004,-0.0020,0.0161,0.0162,8
2024-05-14T00:50:00,0.0020,0.0024,0.0092,0.0097,8
2024-05-14T00:50:30,0.0003,0.0003,0.0269,0.0269,8
2024-05-14T00:51:00,0.0012,-0.0023,0.0031,0.0040,9
2024-05-14T00:51:30,0.0003,-0.0009,0.0196,0.0196,9
2024-05-14T00:52:00,-0.0031,0.0001,0.0253,0.0254,9
2024-05-14T00:52:30,0.0011,0.0033,-0.0017,0.0039,9
2024-05-14T00:53:00,-0.0062,0.0016,0.0592,0.0596,8
2024-05-14T00:53:30,-0.0030,-0.0000,0.0333,0.0335,9
2024-05-14T00:54:00,0.0061,0.0013,-0.1309,0.1310,9
2024-05-14T00:54:30,0.0026,0.0016,-0.0041,0.0051,9
2024-05-14T00:55:00,0.0052,-0.0009,0.0020,0.0056,8
2024-05-14T00:55:30,0.0013,0.0006,-0.0062,0.0064,8
2024-05-14T00:56:00,0.0001,0.0001,-0.0216,0.0216,8
2024-05-14T00:56:30,0.0012,-0.0057,-0.0031,0.0066,8
2024-05-14T00:57:00,-0.0018,0.0007,0.0099,0.0100,8
2024-05-14T00:57:30,0.0007,-0.0017,0.0331,0.0332,8
2024-05-14T00:58:00,-0.0000,0.0034,0.0241,0.0244,8
2024-05-14T00:58:30,0.0028,0.0002,0.0129,0.0132,7
