time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714608030.0,426619.52151180763,5686207.11355931,3817189.2648041868,-1493.1668638444971,-124332.36130459886,191880.55013404274,-7646.746074528247,228493.2093262316,-3360.312615526709,8
1714608060.0,424097.2300652076,5555602.112427577,4004822.704693559,-4015.4583104445483,-254937.3624363318,379513.99002341507,-14728.059843130475,456746.62484686717,-14340.719618682604,7
1714608090.0,420521.7829048694,5418874.900450456,4188001.5448675356,-7590.905470782716,-391664.5744134532,562692.8301973916,-21208.92169502205,684505.7073748476,-32925.67484019231,7
1714608120.0,415870.75259905076,5276181.949836202,4366522.664349659,-12241.93577660137,-534357.5250277072,741213.9496795153,-27055.46733032089,911516.3594101189,-59092.105733870354,7
1714608150.0,410123.5902460491,5127686.530731606,4540188.360585537,-17989.098129603022,-682852.9441323029,914879.6459153928,-32235.206392062595,1137525.4048777525,-92808.20113821287,7
1714608180.0,403261.70360025455,4973558.0441695675,4708806.112192641,-24850.984775397577,-836981.4306943417,1083497.397522497,-36717.149395718836,1362280.7380331457,-134034.09616063198,7
1714608210.0,395268.456587999,4813972.311244462,4872189.229199396,-32844.231787653116,-996567.1636194475,1246880.5145292524,-40471.78599790129,1585531.7215574202,-182721.28270201106,7
1714608240.0,386129.2476607344,4649111.206911926,5030156.870383759,-41983.44071491773,-1161428.267951983,1404848.155713615,-43471.1900459292,1807029.3920092783,-238812.90491662954,7
1714608270.0,375831.533830263,4479162.371452029,5182534.192196884,-52281.154545389116,-1331377.1034118803,1557225.4775267402,-45689.06474962066,2026526.7378190712,-302243.9225775908,7
1714608300.0,364364.87202855304,4304319.063433536,5329152.550623052,-63747.816347099084,-1506220.4114303729,1703843.8359529078,-47100.79473340953,2243778.946584952,-372941.1256630545,7
1714608330.0,351721.0230860261,4124779.8431815016,5469849.693110985,-76391.66528962605,-1685759.6316824076,1844540.9784408407,-47683.57299218667,2458543.7312182393,-450823.2935834377,8
1714608360.0,337893.8517583448,3940748.793303906,5604470.353226898,-90218.83661730733,-1869790.6815600032,1979161.6385567542,-47416.28498416064,2670581.7211376727,-535800.6994279698,9
1714608390.0,322879.4784404382,3752434.7979109567,5732866.019794993,-105233.2099352139,-2058104.6769529525,2107557.305124849,-46279.712897345715,2879656.6421573497,-627775.8322898361,9
1714608420.0,306676.2229745789,3560050.889582178,5854894.498827495,-121436.46540107322,-2250488.585281731,2229585.7841573507,-44256.52759405572,3085535.2930010865,-726644.1852372012,8
1714608450.0,289284.71930196375,3363814.994333159,5970420.979570604,-138827.96907368838,-2446724.48053075,2345112.26490046,-41331.348212785844,3287988.0501055834,-832293.0527344039,8
1714608480.0,270707.7600436858,3163948.892350166,6079317.598244939,-157404.92833196634,-2646590.582513743,2454008.883574795,-37490.66353399816,3486789.053952167,-944602.650305815,9
1714608510.0,250950.479006256,2960678.5694468226,6181464.330458244,-177162.20936939612,-2849860.9054170866,2556155.6157881003,-32722.9881674294,3681716.7723231222,-1063445.3325011043,9
1714608540.0,230020.30135768195,2754233.720743917,6276748.717052313,-198092.38701797018,-3056305.7541199923,2651440.0023821685,-27018.849332204263,3872554.0325584146,-1188686.1610156512,9
