time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-10T00:00:30,-0.0006,-0.0029,-0.0781,0.0782,7
2024-05-10T00:01:00,-0.0000,0.0005,-0.0054,0.0054,7
2024-05-10T00:01:30,-0.0011,0.0024,-0.0100,0.0104,7
2024-05-10T00:02:00,-0.0012,0.0010,0.0017,0.0023,7
2024-05-10T00:02:30,0.0007,0.0013,0.0450,0.0450,7
2024-05-10T00:03:00,0.0021,0.0003,-0.0184,0.0185,7
2024-05-10T00:03:30,0.0033,-0.0052,-0.0096,0.0114,7
2024-05-10T00:04:00,0.0071,0.0003,-0.0211,0.0223,7
2024-05-10T00:04:30,-0.0098,0.0059,-0.0087,0.0144,6
2024-05-10T00:05:00,-0.0041,0.0038,-0.0025,0.0061,6
2024-05-10T00:05:30,0.0084,0.0026,0.0072,0.0114,5
2024-05-10T00:06:00,0.0078,-0.0207,0.0978,0.1002,5
2024-05-10T00:06:30,-0.0016,-0.0074,0.0051,0.0092,6
2024-05-10T00:07:00,-0.0109,0.0027,0.0085,0.0141,6
2024-05-10T00:07:30,-0.0373,0.0588,-0.4970,0.5019,7
2024-05-10T00:08:00,0.0017,0.0029,-0.0196,0.0199,7
2024-05-10T00:08:30,-0.0082,-0.0027,-0.1408,0.1411,6
2024-05-10T00:09:00,0.0138,-0.0025,0.0014,0.0141,6
2024-05-10T00:09:30,-0.0070,-0.0025,-0.0631,0.0635,6
2024-05-10T00:10:00,0.0175,-0.0053,0.0604,0.0631,6
2024-05-10T00:10:30,0.0042,0.0004,0.0112,0.0120,6
2024-05-10T00:11:00,0.0193,-0.0081,0.0783,0.0811,6
2024-05-10T00:11:30,-0.0249,0.0136,-0.1167,0.1201,5
2024-05-10T00:12:00,0.0210,-0.0104,0.0580,0.0626,5
2024-05-10T00:12:30,-0.0228,0.0175,-0.0803,0.0853,6
2024-05-10T00:13:00,0.0611,-0.0264,0.1761,0.1883,6
2024-05-10T00:13:30,0.0020,0.0011,-0.0025,0.0034,6
2024-05-10T00:14:00,0.0056,-0.0037,0.0221,0.0231,6
2024-05-10T00:14:30,0.0002,-0.0027,-0.0171,0.0173,6
2024-05-10T00:15:00,0.0008,0.0000,0.0166,0.0167,6
2024-05-10T00:15:30,-0.0032,-0.0015,-0.0122,0.0127,6
2024-05-10T00:16:00,0.0020,-0.0048,-0.0113,0.0125,7
2024-05-10T00:16:30,-0.0018,-0.0013,-0.0129,0.0131,7
2024-05-10T00:17:00,-0.1038,0.0049,0.3014,0.3188,7
2024-05-10T00:17:30,0.0232,0.0035,-0.0382,0.0448,7
2024-05-10T00:18:00,-0.0199,-0.0011,0.0082,0.0216,7
2024-05-10T00:18:30,-0.0056,-0.0036,-0.0096,0.0117,7
2024-05-10T00:19:00,-0.0032,-0.0003,-0.0200,0.0203,7
2024-05-10T00:19:30,-0.0126,-0.0010,-0.0126,0.0179,7
