time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714521630.0,297525.0561389625,2737927.345941569,-6282656.727769764,18132.57351233682,209850.52770399023,87988.38265847694,5028.613730703557,228179.03622684395,-4126.760619906985,7
1714521660.0,316241.38945990225,2944681.3137399927,-6187698.069193975,36848.90683327656,416604.4955024137,182947.041234266,9136.852351568195,456127.4559776111,-15843.905342381884,6
1714521690.0,335506.79917235416,3148108.270165103,-6085874.026814819,56114.31654572848,620031.4519275241,284771.08361342177,12333.874982920926,683590.1233370088,-35139.8174028965,6
1714521720.0,355285.04965467507,3347981.807956516,-5977297.507236848,75892.56702804938,819904.9897189368,393347.6031913934,14630.827800665604,910312.5245335875,-61994.010901733884,6
1714521750.0,375538.07178738364,3544078.193960881,-5862086.64762699,96145.58916075795,1016001.3757233019,508558.46280125063,16040.97312586612,1136040.5001191732,-96380.23212067806,6
1714521780.0,396226.5975940626,3736179.3222506247,-5740369.312664496,116834.11496743694,1208102.5040130457,630275.7977637453,16579.3830157059,1360521.3796293358,-138261.1713383306,6
1714521810.0,417309.8166664958,3924071.126147777,-5612279.759214307,137917.33403987013,1395994.3079101979,758365.3512139339,16263.106324736378,1583503.7094676543,-187592.15906593297,6
1714521840.0,438745.547221801,4107544.224951194,-5477959.250670692,159353.06459517532,1579467.4067136152,892685.8597575491,15111.069723962835,1804737.6413018443,-244320.351009966,6
1714521870.0,460490.3295510903,4286394.345410215,-5337556.185904108,181097.84692446463,1758317.5271726358,1033088.9245241331,13144.031115319172,2023975.283442195,-308384.4499301524,6
1714521900.0,482499.4073750948,4460422.174594924,-5191225.346943432,203106.9247484691,1932345.356357345,1179419.7634848086,10384.582001452014,2240970.840462254,-379715.45961376117,6
1714521930.0,504726.93747891905,4629434.068353644,-5039128.4767539585,225334.45485229336,2101357.2501160647,1331516.6336742826,6857.016941523703,2455481.076050877,-458235.879635053,6
1714521960.0,527125.9119877769,4793241.831839305,-4881433.465644047,247733.42936115118,2265165.0136017264,1489211.6447841944,2587.386696601956,2667265.402361753,-543860.5451981862,7
1714521990.0,549648.3766797938,4951663.284061165,-4718314.708380448,270255.89405316813,2423586.4658235856,1652330.4020477934,-2396.6567476928467,2876086.2921797996,-636496.0794042957,7
1714522020.0,572245.4377518586,5104522.368139258,-4549952.618135834,292852.9551252329,2576445.5499016787,1820692.492292407,-8065.854794969782,3081709.5607306347,-736041.3043515297,7
1714522050.0,594867.3096088599,5251649.20563619,-4376533.396556303,315474.82698223426,2723572.3873986113,1994111.7138719382,-14389.383769922773,3283904.5055554863,-842387.4330069356,7
1714522080.0,617463.644010626,5392880.9487999845,-4198249.418988515,338071.1613840003,2864804.1305624056,2172395.6914397264,-21335.088457089383,3482444.585419675,-955417.3853947532,6
1714522110.0,639982.6776059284,5528056.2256290745,-4015295.000926999,360590.1949793027,2999979.4073914955,2355350.109501242,-28869.24498668313,3677103.762494756,-1075011.794519741,6
1714522140.0,662373.368173771,5657033.111710761,-3827878.0998270498,382980.88554714527,3128956.293473182,2542767.0106011913,-36956.709995278216,3867669.0087318085,-1201031.454976701,6
1714522170.0,684583.6173703182,5779669.9854377685,-3636206.4155347412,405191.13474369247,3251593.1672001895,2734438.6948935,-45561.257125454256,4053927.563011175,-1333337.3325967153,6
1714522200.0,706559.8309453706,5895822.498795614,-3440487.688555467,427167.3483187449,3367745.6805580347,2930157.421872774,-54645.47265364352,4235663.977597196,-1471791.4154346143,7
1714522230.0,728249.3139244444,6005366.292302196,-3240941.208055745,448856.8312978187,3477289.474064617,3129703.902372496,-64170.641009034356,4412677.104501727,-1616237.5933654273,6
1714522260.0,749598.9278979525,6108181.297321458,-3037788.804329158,470206.4452713268,3580104.4790838794,3332856.3060990833,-74097.1345324461,4584768.7775342,-1766515.8393394637,6
1714522290.0,770555.4526856779,6204156.503290596,-2831256.8154246286,491162.9700590522,3676079.6850530175,3539388.2950036125,-84384.2492864225,4751747.528299075,-1922458.6192168857,6
1714522320.0,791064.0405107256,6293175.615530302,-2621569.6924487907,511671.5578840999,3765098.797292723,3749075.4179794504,-94990.24403074867,4913417.536213101,-2083902.1557148488,7
1714522350.0,811074.3120370703,6375164.943436275,-2408970.892975446,531681.8294104446,3847088.1251986963,3961674.2174527952,-105873.13899405277,5069615.788554788,-2250649.2065348234,8
