time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-21T00:00:30,-0.0011,-0.0048,-0.0605,0.0607,7
2024-05-21T00:01:00,0.0046,0.0013,0.0147,0.0154,7
2024-05-21T00:01:30,0.0137,0.0002,0.1485,0.1491,7
2024-05-21T00:02:00,-0.1177,0.0014,-0.9408,0.9482,5
2024-05-21T00:02:30,-0.0181,-0.0004,-0.0408,0.0447,5
2024-05-21T00:03:00,-0.0048,-0.0002,0.0187,0.0193,5
2024-05-21T00:03:30,0.0105,-0.0040,0.0122,0.0166,5
2024-05-21T00:04:00,0.0069,-0.0030,-0.0011,0.0076,5
2024-05-21T00:04:30,0.0085,-0.0028,0.0095,0.0130,4
2024-05-21T00:05:00,0.0071,-0.0049,0.0024,0.0089,4
2024-05-21T00:05:30,-0.0167,0.0089,0.0350,0.0398,5
2024-05-21T00:06:00,-0.0047,0.0056,0.0359,0.0366,5
2024-05-21T00:06:30,-0.0137,0.0189,0.1694,0.1710,5
2024-05-21T00:07:00,-0.0021,0.0048,0.0068,0.0086,6
2024-05-21T00:07:30,0.0042,-0.0004,0.0227,0.0231,6
2024-05-21T00:08:00,0.0031,0.0033,0.0454,0.0456,6
2024-05-21T00:08:30,0.0021,0.0001,0.0036,0.0041,6
2024-05-21T00:09:00,0.0067,-0.0006,0.0226,0.0236,6
2024-05-21T00:09:30,-0.0009,-0.0046,0.0096,0.0107,6
2024-05-21T00:10:00,-0.0005,0.0011,0.0164,0.0165,6
2024-05-21T00:10:30,-0.0005,-0.0008,-0.0332,0.0332,6
2024-05-21T00:11:00,0.0044,-0.0037,0.0064,0.0086,6
2024-05-21T00:11:30,-0.0015,-0.0006,0.0235,0.0236,7
2024-05-21T00:12:00,0.0009,-0.0001,0.0005,0.0010,7
2024-05-21T00:12:30,38001.6092,10236.9565,-12087.8339,41170.7822,6
2024-05-21T00:13:00,63395.0631,15094.8912,-21485.7465,68617.9792,6
2024-05-21T00:13:30,81764.7033,17080.3235,-28981.7039,88414.6104,5
2024-05-21T00:14:00,18.1923,3.4926,-20.2703,27.4598,5
2024-05-21T00:14:30,1.0008,0.1727,-1.3132,1.6601,5
2024-05-21T00:15:00,0.1012,0.0156,-0.1841,0.2107,5
2024-05-21T00:15:30,0.0102,0.0031,-0.0113,0.0156,5
2024-05-21T00:16:00,-0.0183,-0.0081,0.0061,0.0209,6
2024-05-21T00:16:30,-0.0073,-0.0009,0.0044,0.0085,6
2024-05-21T00:17:00,-0.0085,-0.0047,0.0137,0.0168,5
2024-05-21T00:17:30,0.1136,0.0522,0.3208,0.3443,5
2024-05-21T00:18:00,0.0010,-0.0012,-0.0033,0.0036,5
2024-05-21T00:18:30,-0.0072,-0.0009,-0.0120,0.0140,5
2024-05-21T00:19:00,0.0020,0.0007,-0.0105,0.0107,5
2024-05-21T00:19:30,0.0048,0.0020,-0.0012,0.0054,6
2024-05-21T00:20:00,0.0437,0.0110,0.2343,0.2386,6
2024-05-21T00:20:30,-0.0059,0.0005,-0.0892,0.0894,6
2024-05-21T00:21:00,-0.0038,-0.0007,0.0038,0.0055,4
2024-05-21T00:21:30,0.0009,0.0033,0.0013,0.0037,4
2024-05-21T00:22:00,-0.0005,-0.0014,0.0035,0.0038,4
2024-05-21T00:22:30,0.0024,-0.0002,-0.0105,0.0107,4
2024-05-21T00:23:00,0.0044,0.0350,-0.1762,0.1797,5
2024-05-21T00:23:30,2706.8993,7876.0270,-15464.4763,17564.4280,5
2024-05-21T00:24:00,2592.5945,6900.2629,-15793.2760,17428.7906,5
2024-05-21T00:24:30,0.3109,0.9254,-5.5014,5.5874,5
2024-05-21T00:25:00,0.0911,0.2456,-1.8467,1.8651,5
2024-05-21T00:25:30,-0.0028,0.0015,0.0235,0.0238,6
2024-05-21T00:26:00,0.0038,-0.0017,-0.0144,0.0150,6
2024-05-21T00:26:30,0.0011,-0.0030,-0.0025,0.0040,6
2024-05-21T00:27:00,-0.0021,0.0021,0.0416,0.0417,6
2024-05-21T00:27:30,0.0036,-0.0007,-0.0280,0.0282,7
2024-05-21T00:28:00,-0.0061,-0.0027,0.0072,0.0098,7
2024-05-21T00:28:30,-0.0014,-0.0017,-0.0473,0.0473,7
2024-05-21T00:29:00,0.0009,0.0046,-0.0156,0.0162,8
2024-05-21T00:29:30,-0.0030,-0.0026,0.0038,0.0055,8
2024-05-21T00:30:00,-0.0005,-0.0035,-0.0184,0.0187,8
2024-05-21T00:30:30,-0.0027,0.0033,0.0141,0.0147,8
2024-05-21T00:31:00,-0.0019,0.0003,-0.0059,0.0062,8
2024-05-21T00:31:30,-0.0000,0.0007,0.0195,0.0195,8
2024-05-21T00:32:00,-0.0018,nan,nan,nan,21
2024-05-21T00:32:30,-0.0004,nan,nan,nan,21
2024-05-21T00:33:00,0.0002,nan,nan,nan,21
2024-05-21T00:33:30,0.0007,nan,nan,nan,21
2024-05-21T00:34:00,-0.0004,nan,nan,nan,21
2024-05-21T00:34:30,-0.0002,-0.0008,-0.0148,0.0148,9
2024-05-21T00:35:00,0.0016,0.0013,0.0028,0.0035,9
2024-05-21T00:35:30,-0.0020,-0.0003,0.0236,0.0237,9
2024-05-21T00:36:00,-0.0027,0.0044,-0.0244,0.0250,9
2024-05-21T00:36:30,-0.0004,0.0027,-0.0220,0.0221,8
2024-05-21T00:37:00,-0.0023,0.0018,-0.0358,0.0359,8
2024-05-21T00:37:30,-0.0024,0.0018,-0.0233,0.0234,8
2024-05-21T00:38:00,-0.0028,0.0006,-0.0431,0.0431,8
2024-05-21T00:38:30,-0.0019,-0.0001,-0.0347,0.0348,8
2024-05-21T00:39:00,-0.0011,0.0045,-0.0060,0.0075,8
2024-05-21T00:39:30,0.0007,0.0053,-0.0115,0.0126,8
2024-05-21T00:40:00,0.0006,-0.0032,0.0012,0.0035,8
2024-05-21T00:40:30,0.0005,-0.0029,0.0050,0.0058,8
2024-05-21T00:41:00,0.0022,-0.0037,-0.0125,0.0132,8
2024-05-21T00:41:30,-0.0010,-0.0014,0.0079,0.0081,7
2024-05-21T00:42:00,-0.0025,-0.0047,0.0013,0.0054,7
2024-05-21T00:42:30,-0.0017,-0.0000,0.0105,0.0106,6
2024-05-21T00:43:00,-0.0037,-0.0081,-0.0099,0.0133,6
2024-05-21T00:43:30,-0.0011,-0.0024,0.0779,0.0779,6
2024-05-21T00:44:00,-0.0007,0.0039,0.1601,0.1601,6
2024-05-21T00:44:30,0.0026,0.0048,0.1877,0.1878,6
2024-05-21T00:45:00,0.0003,0.0046,0.0378,0.0381,5
2024-05-21T00:45:30,-0.0021,-0.0103,-0.0556,0.0566,5
2024-05-21T00:46:00,-0.0027,-0.0205,-0.1086,0.1105,5
2024-05-21T00:46:30,-0.0049,-0.0133,-0.0846,0.0857,5
2024-05-21T00:47:00,0.0026,0.0155,0.0648,0.0667,5
2024-05-21T00:47:30,0.0002,0.0082,0.0236,0.0250,5
2024-05-21T00:48:00,0.0012,0.0192,0.0267,0.0329,5
2024-05-21T00:48:30,0.0015,-0.0084,-0.0178,0.0197,6
2024-05-21T00:49:00,-0.0029,-0.0009,-0.0016,0.0035,7
2024-05-21T00:49:30,-0.0005,-0.0091,0.0047,0.0103,8
2024-05-21T00:50:00,-0.0025,0.0203,-0.0012,0.0205,8
2024-05-21T00:50:30,-0.0021,0.0007,0.0035,0.0042,8
2024-05-21T00:51:00,-0.0048,-0.0040,-0.0046,0.0077,9
2024-05-21T00:51:30,-0.0013,-0.0053,0.0174,0.0182,9
2024-05-21T00:52:00,0.0003,-0.0011,-0.0089,0.0090,9
2024-05-21T00:52:30,0.0002,-0.0020,-0.0156,0.0158,9
2024-05-21T00:53:00,0.0026,0.0008,-0.0348,0.0349,9
