time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-07T00:00:30,0.0132,-0.0023,0.0265,0.0297,7
2024-05-07T00:01:00,0.0122,-0.0017,-0.0166,0.0207,7
2024-05-07T00:01:30,0.0040,-0.0002,-0.0489,0.0491,7
2024-05-07T00:02:00,0.0079,-0.0013,0.0003,0.0080,7
2024-05-07T00:02:30,0.0032,0.0026,-0.0205,0.0209,7
2024-05-07T00:03:00,0.0007,-0.0009,-0.0011,0.0016,7
2024-05-07T00:03:30,0.0195,0.0037,0.0003,0.0199,7
2024-05-07T00:04:00,0.0004,-0.0013,0.0307,0.0307,7
2024-05-07T00:04:30,-0.0214,-0.0034,0.0498,0.0543,7
2024-05-07T00:05:00,-0.0217,-0.0071,-0.0335,0.0405,6
2024-05-07T00:05:30,0.0148,0.0055,0.0007,0.0158,6
2024-05-07T00:06:00,0.0108,0.0025,-0.0419,0.0433,5
2024-05-07T00:06:30,0.0139,0.0070,0.0762,0.0777,5
2024-05-07T00:07:00,-0.0123,-0.0075,-0.1520,0.1527,5
2024-05-07T00:07:30,0.0072,0.0002,0.0506,0.0511,5
2024-05-07T00:08:00,-0.0016,0.0023,0.0092,0.0096,5
2024-05-07T00:08:30,-0.1305,-0.0624,-0.6667,0.6822,5
2024-05-07T00:09:00,0.1448,0.0793,0.6003,0.6226,5
2024-05-07T00:09:30,0.1892,0.1189,0.6857,0.7212,5
2024-05-07T00:10:00,0.0263,0.0130,0.0721,0.0778,5
2024-05-07T00:10:30,-0.0132,-0.0115,-0.0446,0.0479,5
2024-05-07T00:11:00,-0.0667,-0.0588,-0.1543,0.1780,5
2024-05-07T00:11:30,0.0023,0.0036,-0.0075,0.0086,6
2024-05-07T00:12:00,29222.6173,28713.2439,29620.1612,50554.5813,5
2024-05-07T00:12:30,47048.0025,49739.2276,42892.0842,80791.3126,6
2024-05-07T00:13:00,0.0270,0.0208,0.1243,0.1288,5
2024-05-07T00:13:30,0.0093,0.0040,0.0373,0.0386,5
2024-05-07T00:14:00,0.0049,0.0071,0.0092,0.0126,5
2024-05-07T00:14:30,-0.0006,0.0015,0.0139,0.0140,6
2024-05-07T00:15:00,0.0111,0.0022,-0.0241,0.0266,6
2024-05-07T00:15:30,-0.0073,-0.0079,0.1228,0.1232,6
2024-05-07T00:16:00,-0.0015,-0.0028,0.0237,0.0239,6
2024-05-07T00:16:30,-0.0013,0.0065,-0.0082,0.0105,6
2024-05-07T00:17:00,-0.0072,0.0029,0.0425,0.0432,5
2024-05-07T00:17:30,0.0033,-0.0015,-0.0436,0.0437,5
2024-05-07T00:18:00,-0.0020,-0.0017,0.0482,0.0482,6
2024-05-07T00:18:30,-0.0033,-0.0082,0.0139,0.0164,6
2024-05-07T00:19:00,-0.0073,0.0028,0.1163,0.1166,6
2024-05-07T00:19:30,0.0029,0.0026,0.0050,0.0063,7
2024-05-07T00:20:00,-0.0030,0.0028,-0.0070,0.0081,7
2024-05-07T00:20:30,-0.0036,-0.0039,0.0227,0.0233,7
2024-05-07T00:21:00,-0.0009,-0.0054,0.0994,0.0995,7
2024-05-07T00:21:30,0.0019,0.0010,-0.0154,0.0155,7
2024-05-07T00:22:00,0.0019,0.0037,-0.0005,0.0042,7
2024-05-07T00:22:30,-0.0041,-0.0048,0.0147,0.0160,7
2024-05-07T00:23:00,-0.0026,-0.0036,0.0713,0.0714,8
2024-05-07T00:23:30,-0.0043,-0.0043,0.0262,0.0269,8
2024-05-07T00:24:00,-0.0063,-0.0071,0.0948,0.0953,8
2024-05-07T00:24:30,0.0023,nan,nan,nan,21
2024-05-07T00:25:00,-0.0008,nan,nan,nan,21
2024-05-07T00:25:30,0.0017,nan,nan,nan,21
2024-05-07T00:26:00,-0.0004,nan,nan,nan,21
2024-05-07T00:26:30,-0.0007,-0.0015,0.0452,0.0452,8
2024-05-07T00:27:00,0.0055,-0.0102,0.1610,0.1614,8
2024-05-07T00:27:30,-0.0026,0.0029,-0.0575,0.0577,8
2024-05-07T00:28:00,-0.0017,-0.0008,-0.0643,0.0643,7
2024-05-07T00:28:30,0.0051,-0.0003,0.0737,0.0738,7
2024-05-07T00:29:00,0.0065,-0.0033,0.0959,0.0962,8
2024-05-07T00:29:30,-0.0026,-0.0027,0.0000,0.0038,8
2024-05-07T00:30:00,-0.0032,0.0011,-0.0050,0.0061,8
2024-05-07T00:30:30,0.0017,-0.0050,-0.0088,0.0102,8
2024-05-07T00:31:00,0.0007,0.0008,-0.0148,0.0148,8
2024-05-07T00:31:30,0.0001,0.0022,-0.0033,0.0040,8
2024-05-07T00:32:00,0.0022,-0.0030,0.0029,0.0047,8
2024-05-07T00:32:30,0.0017,-0.0018,0.0210,0.0212,8
2024-05-07T00:33:00,0.0008,0.0019,0.0006,0.0022,8
2024-05-07T00:33:30,0.0012,-0.0045,0.0060,0.0076,7
2024-05-07T00:34:00,0.0009,-0.0026,-0.0057,0.0063,7
2024-05-07T00:34:30,-0.0022,0.0028,-0.0225,0.0228,7
2024-05-07T00:35:00,-0.0038,0.0034,-0.0116,0.0127,7
2024-05-07T00:35:30,0.0031,0.0036,0.0451,0.0453,7
2024-05-07T00:36:00,-0.0005,-0.0025,-0.0043,0.0050,7
2024-05-07T00:36:30,-0.0029,0.0132,-0.0648,0.0662,7
2024-05-07T00:37:00,-0.0036,-0.0083,-0.0432,0.0441,7
2024-05-07T00:37:30,-0.0021,-0.0018,-0.1049,0.1049,7
2024-05-07T00:38:00,0.0010,-0.0066,-0.0171,0.0184,7
2024-05-07T00:38:30,0.0012,-0.0079,0.0441,0.0448,7
2024-05-07T00:39:00,0.0033,-0.0024,-0.0215,0.0219,7
2024-05-07T00:39:30,0.0026,0.0058,-0.0209,0.0219,7
2024-05-07T00:40:00,0.0029,0.0110,0.0310,0.0331,7
2024-05-07T00:40:30,-0.0042,0.0016,-0.0690,0.0692,7
2024-05-07T00:41:00,-0.0010,-0.0067,-0.0207,0.0218,6
2024-05-07T00:41:30,-0.0012,0.0197,0.0229,0.0302,6
2024-05-07T00:42:00,0.0044,-0.0253,-0.0260,0.0366,5
2024-05-07T00:42:30,-0.0032,0.0223,0.0647,0.0685,5
2024-05-07T00:43:00,0.0072,0.0068,0.0212,0.0234,5
2024-05-07T00:43:30,-0.0045,0.0242,0.0438,0.0503,5
2024-05-07T00:44:00,0.0035,-0.0114,0.0354,0.0373,7
2024-05-07T00:44:30,0.0016,-0.0268,-0.0062,0.0275,7
2024-05-07T00:45:00,-0.0007,0.0010,0.0194,0.0194,7
2024-05-07T00:45:30,0.0034,-0.0034,-0.0317,0.0321,7
2024-05-07T00:46:00,-0.0020,-0.0028,0.0171,0.0174,7
2024-05-07T00:46:30,-0.0009,-0.0024,-0.0718,0.0719,7
2024-05-07T00:47:00,0.0032,0.0009,0.0642,0.0643,8
2024-05-07T00:47:30,0.0011,0.0013,0.1130,0.1130,8
2024-05-07T00:48:00,-0.0019,0.0031,0.0577,0.0578,8
2024-05-07T00:48:30,0.0018,0.0014,-0.2378,0.2378,8
2024-05-07T00:49:00,-0.0037,0.0004,0.1551,0.1552,8
2024-05-07T00:49:30,-0.0033,-0.0010,-0.0314,0.0316,8
2024-05-07T00:50:00,-0.0048,-0.0017,-0.0621,0.0624,8
2024-05-07T00:50:30,-0.0012,0.0009,-0.0588,0.0588,8
2024-05-07T00:51:00,-0.0035,0.0018,-0.0018,0.0043,8
2024-05-07T00:51:30,0.0019,-0.0063,0.0082,0.0105,7
2024-05-07T00:52:00,-0.0012,0.0045,-0.1003,0.1004,8
2024-05-07T00:52:30,0.0085,0.0050,0.1246,0.1250,8
2024-05-07T00:53:00,-0.0021,-0.0026,-0.0052,0.0062,7
2024-05-07T00:53:30,0.0000,0.0059,-0.0088,0.0106,6
2024-05-07T00:54:00,-0.0056,-0.0048,-0.0007,0.0074,6
2024-05-07T00:54:30,-0.0009,-0.0057,0.0297,0.0303,6
2024-05-07T00:55:00,0.0031,-0.0173,0.0707,0.0728,6
2024-05-07T00:55:30,-0.0042,0.0062,-0.0267,0.0278,7
2024-05-07T00:56:00,0.0024,-0.0249,0.0248,0.0352,6
2024-05-07T00:56:30,0.0022,0.0055,0.0339,0.0344,6
2024-05-07T00:57:00,0.0103,-0.0290,0.0653,0.0722,6
2024-05-07T00:57:30,-0.0025,-0.0206,0.0080,0.0222,6
2024-05-07T00:58:00,-0.0032,-0.0201,0.0113,0.0232,6
2024-05-07T00:58:30,0.0070,-0.0165,-0.0300,0.0350,6
2024-05-07T00:59:00,0.0005,0.0025,0.0126,0.0128,7
2024-05-07T00:59:30,0.0000,-0.0015,0.0012,0.0019,7
2024-05-07T01:00:00,-0.0022,-0.0085,0.0025,0.0091,7
2024-05-07T01:00:30,0.0007,-0.0191,-0.0021,0.0192,7
2024-05-07T01:01:00,-0.0019,-0.0067,0.0057,0.0090,7
2024-05-07T01:01:30,0.0019,-0.0076,0.0068,0.0104,7
2024-05-07T01:02:00,-0.0017,0.0000,-0.0133,0.0134,7
2024-05-07T01:02:30,-0.0015,0.0059,0.0095,0.0113,7
2024-05-07T01:03:00,-0.0043,0.0024,0.0648,0.0650,7
2024-05-07T01:03:30,0.0034,-0.0121,-0.0216,0.0250,7
2024-05-07T01:04:00,-0.0019,0.0179,0.0505,0.0536,7
2024-05-07T01:04:30,0.0004,-0.0039,0.0037,0.0054,7
2024-05-07T01:05:00,0.0011,0.0027,-0.0286,0.0288,7
2024-05-07T01:05:30,-0.0011,-0.0012,0.0100,0.0102,7
2024-05-07T01:06:00,0.0020,0.0121,0.0196,0.0231,8
2024-05-07T01:06:30,-0.0011,0.0027,0.0330,0.0331,9
2024-05-07T01:07:00,0.0002,0.0022,0.0021,0.0031,9
2024-05-07T01:07:30,-0.0003,0.0014,0.0139,0.0140,9
2024-05-07T01:08:00,0.0006,-0.0038,-0.0078,0.0087,9
2024-05-07T01:08:30,-0.0008,0.0033,0.0243,0.0245,9
2024-05-07T01:09:00,0.0009,-0.0025,0.0011,0.0029,10
2024-05-07T01:09:30,-0.0005,0.0027,-0.0134,0.0137,11
2024-05-07T01:10:00,0.0021,0.0012,-0.0033,0.0041,11
2024-05-07T01:10:30,-0.0034,0.0018,0.0132,0.0138,11
2024-05-07T01:11:00,-0.0036,0.0007,-0.0263,0.0265,11
2024-05-07T01:11:30,-0.0018,nan,nan,nan,21
2024-05-07T01:12:00,-0.0013,nan,nan,nan,21
2024-05-07T01:12:30,0.0002,nan,nan,nan,21
2024-05-07T01:13:00,-0.0011,nan,nan,nan,21
2024-05-07T01:13:30,-0.0003,nan,nan,nan,21
2024-05-07T01:14:00,0.0019,0.0048,0.0130,0.0140,11
2024-05-07T01:14:30,-0.0002,0.0006,-0.0212,0.0212,11
2024-05-07T01:15:00,-0.0009,0.0019,0.0002,0.0021,11
2024-05-07T01:15:30,0.0001,0.0006,-0.0272,0.0272,10
2024-05-07T01:16:00,-0.0016,-0.0012,0.0140,0.0141,10
2024-05-07T01:16:30,0.0002,-0.0009,-0.0155,0.0155,10
2024-05-07T01:17:00,-0.0022,-0.0024,-0.0360,0.0362,10
2024-05-07T01:17:30,-0.0063,-0.0026,-0.0060,0.0090,9
2024-05-07T01:18:00,0.0024,-0.0031,-0.0034,0.0052,8
2024-05-07T01:18:30,-0.0011,0.0030,-0.0182,0.0185,8
2024-05-07T01:19:00,0.0034,-0.0019,-0.0373,0.0375,7
2024-05-07T01:19:30,-0.0015,0.0027,0.0120,0.0124,7
2024-05-07T01:20:00,0.0004,0.0004,0.0017,0.0018,7
2024-05-07T01:20:30,-0.0022,0.0047,-0.0291,0.0296,7
2024-05-07T01:21:00,0.0014,0.0154,-0.0121,0.0196,7
2024-05-07T01:21:30,0.0011,-0.0052,-0.0144,0.0154,7
2024-05-07T01:22:00,0.0003,0.0171,-0.0086,0.0192,7
2024-05-07T01:22:30,0.0054,0.0112,-0.0166,0.0207,7
