time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-03T00:00:30,0.0039,0.0112,-0.0178,0.0214,6
2024-05-03T00:01:00,23506.6613,5082.7286,20002.1458,31280.7143,5
2024-05-03T00:01:30,51193.6417,11319.9415,44664.3563,68875.5018,5
2024-05-03T00:02:00,21.8123,411.9337,-866.4730,959.6565,6
2024-05-03T00:02:30,0.0033,0.0207,-0.0469,0.0513,6
2024-05-03T00:03:00,-0.0046,0.0660,-0.1635,0.1764,6
2024-05-03T00:03:30,-0.0078,0.0277,-0.0634,0.0696,6
2024-05-03T00:04:00,0.0112,0.0329,-0.4050,0.4065,6
2024-05-03T00:04:30,-0.0051,-0.0180,0.3084,0.3090,6
2024-05-03T00:05:00,0.0007,-0.0055,0.3041,0.3042,6
2024-05-03T00:05:30,0.0109,-0.0040,-0.0532,0.0545,6
2024-05-03T00:06:00,-0.0064,0.0146,0.2321,0.2327,5
2024-05-03T00:06:30,-0.0131,0.0237,0.2309,0.2325,5
2024-05-03T00:07:00,-0.0043,0.0281,0.3664,0.3675,5
2024-05-03T00:07:30,-0.0345,0.0662,0.5391,0.5443,5
2024-05-03T00:08:00,0.0006,-0.0227,-0.1751,0.1766,6
2024-05-03T00:08:30,0.0124,-0.0346,-0.3555,0.3574,6
2024-05-03T00:09:00,-0.0113,0.0288,0.2872,0.2888,6
2024-05-03T00:09:30,-0.0156,0.0054,-0.0378,0.0413,6
2024-05-03T00:10:00,0.0229,-0.0113,-0.0120,0.0282,6
2024-05-03T00:10:30,-0.0084,0.0049,-0.0144,0.0174,6
2024-05-03T00:11:00,0.0143,-0.0050,-0.0214,0.0262,6
2024-05-03T00:11:30,0.0026,0.0023,-0.0149,0.0153,6
2024-05-03T00:12:00,-0.0054,-0.0004,0.0433,0.0437,6
2024-05-03T00:12:30,-0.0042,-0.0024,0.0648,0.0649,6
2024-05-03T00:13:00,-0.0009,-0.0030,0.0448,0.0449,6
2024-05-03T00:13:30,-0.0057,-0.0040,0.0279,0.0287,6
2024-05-03T00:14:00,0.0143,-0.0009,-0.0281,0.0315,7
2024-05-03T00:14:30,0.0104,0.0049,-0.0229,0.0256,7
2024-05-03T00:15:00,-0.0240,-0.0063,0.0553,0.0606,7
2024-05-03T00:15:30,0.0076,-0.0029,-0.0131,0.0154,7
2024-05-03T00:16:00,0.0028,0.0025,-0.0394,0.0395,7
2024-05-03T00:16:30,-0.0004,0.0002,0.0364,0.0364,7
2024-05-03T00:17:00,0.0052,0.0057,0.0421,0.0428,7
2024-05-03T00:17:30,-0.0121,-0.0167,-0.2104,0.2114,7
2024-05-03T00:18:00,0.0101,0.0012,-0.0008,0.0102,5
2024-05-03T00:18:30,0.0049,0.0037,0.0007,0.0062,5
2024-05-03T00:19:00,0.0043,0.0017,0.0133,0.0141,5
2024-05-03T00:19:30,-0.0032,-0.0035,-0.0001,0.0048,5
2024-05-03T00:20:00,0.0014,0.0019,-0.0035,0.0042,5
2024-05-03T00:20:30,-0.0139,-0.0066,0.0100,0.0184,5
2024-05-03T00:21:00,-0.0186,-0.0112,-0.0068,0.0228,5
2024-05-03T00:21:30,0.0169,0.0156,0.0189,0.0297,4
2024-05-03T00:23:00,176967.4563,179590.3237,146914.7080,291811.7482,4
2024-05-03T00:23:30,201776.1876,222036.9391,150433.1606,335625.0408,4
2024-05-03T00:24:00,236996.5746,280490.9227,154015.5865,398200.1193,5
2024-05-03T00:24:30,317746.5402,474187.9718,82232.5717,576696.8808,5
2024-05-03T00:25:00,188039.4810,383076.2390,-107199.7750,439997.7762,5
2024-05-03T00:25:30,138901.2836,287131.0026,-109019.7816,337080.2456,5
2024-05-03T00:26:00,100650.9678,209293.7960,-101059.6715,253273.7009,5
2024-05-03T00:26:30,0.0757,0.5823,-2.4160,2.4863,5
2024-05-03T00:27:00,0.0151,0.0929,-0.4290,0.4392,5
2024-05-03T00:27:30,0.0101,0.0443,-0.2662,0.2701,5
2024-05-03T00:28:00,-0.0039,0.0058,0.0021,0.0073,5
2024-05-03T00:28:30,0.0031,0.0008,-0.0173,0.0176,6
2024-05-03T00:29:00,-0.0017,-0.0012,0.0352,0.0353,7
2024-05-03T00:29:30,-0.0022,-0.0048,0.0080,0.0096,7
2024-05-03T00:30:00,0.0006,-0.0050,0.0336,0.0340,7
2024-05-03T00:30:30,0.0020,-0.0014,0.0420,0.0421,7
2024-05-03T00:31:00,0.0013,-0.0013,-0.0248,0.0248,7
2024-05-03T00:31:30,-0.0029,-0.0074,0.0575,0.0581,8
2024-05-03T00:32:00,0.0010,0.0061,-0.0037,0.0072,8
2024-05-03T00:32:30,0.0008,-0.0050,0.0066,0.0083,8
2024-05-03T00:33:00,-0.0003,0.0017,0.0255,0.0256,8
2024-05-03T00:33:30,-0.0010,-0.0065,0.0101,0.0120,8
2024-05-03T00:34:00,0.0021,0.0003,-0.0106,0.0108,9
2024-05-03T00:34:30,-0.0025,0.0024,-0.0007,0.0036,9
2024-05-03T00:35:00,0.0003,nan,nan,nan,21
2024-05-03T00:35:30,-0.0007,nan,nan,nan,21
2024-05-03T00:36:00,-0.0003,nan,nan,nan,21
2024-05-03T00:36:30,-0.0010,nan,nan,nan,21
