time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-27T00:00:30,0.0007,0.0016,-0.0166,0.0167,8
2024-05-27T00:01:00,-0.0008,0.0014,-0.0000,0.0016,8
2024-05-27T00:01:30,-0.0030,0.0030,-0.0368,0.0371,8
2024-05-27T00:02:00,0.0021,0.0046,0.0072,0.0088,8
2024-05-27T00:02:30,-0.0006,0.0010,0.0054,0.0055,8
2024-05-27T00:03:00,0.0024,-0.0000,0.0161,0.0163,8
2024-05-27T00:03:30,0.0036,0.0044,0.0138,0.0149,8
2024-05-27T00:04:00,0.0035,0.0006,0.0491,0.0492,7
2024-05-27T00:04:30,-0.0023,0.0024,-0.0238,0.0240,8
2024-05-27T00:05:00,0.0043,0.0029,0.0495,0.0498,8
2024-05-27T00:05:30,-0.0036,-0.0102,-0.0292,0.0312,8
2024-05-27T00:06:00,-0.0003,-0.0057,0.0143,0.0154,8
2024-05-27T00:06:30,0.0046,-0.0016,0.0202,0.0207,9
2024-05-27T00:07:00,-0.0019,0.0039,-0.0043,0.0061,9
2024-05-27T00:07:30,0.0038,0.0043,0.0307,0.0312,9
2024-05-27T00:08:00,0.0008,0.0007,-0.0204,0.0204,8
2024-05-27T00:08:30,0.0018,0.0037,0.0164,0.0169,8
2024-05-27T00:09:00,-0.0008,0.0005,-0.0401,0.0401,8
2024-05-27T00:09:30,-0.0046,-0.0070,-0.0464,0.0471,8
2024-05-27T00:10:00,-0.0007,-0.0062,-0.0375,0.0380,8
2024-05-27T00:10:30,0.0032,0.0116,0.0629,0.0640,8
2024-05-27T00:11:00,-0.0015,-0.0147,-0.0834,0.0847,8
2024-05-27T00:11:30,-0.0058,-0.0061,-0.0601,0.0607,8
2024-05-27T00:12:00,0.0008,0.0081,0.0670,0.0675,8
2024-05-27T00:12:30,0.0003,-0.0013,-0.0121,0.0121,8
2024-05-27T00:13:00,0.0003,-0.0081,-0.1013,0.1016,8
2024-05-27T00:13:30,0.0013,0.0145,0.1293,0.1301,8
2024-05-27T00:14:00,-0.0006,0.0014,0.0800,0.0800,8
2024-05-27T00:14:30,0.0031,nan,nan,nan,21
2024-05-27T00:15:00,0.0009,nan,nan,nan,21
