time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m,n_B_sv
2024-04-29T00:00:00,767620800.000000,-0.0049,-0.2088,-1.9044,1.9158,-1.9905,0.4645,9,0.1512,9
2024-04-29T00:00:30,767620830.000000,-0.0479,-0.1955,-1.9570,1.9673,-1.6036,0.2071,9,0.0301,9
2024-04-29T00:01:00,767620860.000000,-0.0023,-0.1645,-1.4300,1.4394,-0.9794,0.0290,10,0.1074,10
2024-04-29T00:01:30,767620890.000000,-0.0227,-0.2330,-1.2968,1.3177,-0.9923,0.0873,11,0.1042,10
2024-04-29T00:02:00,767620920.000000,0.0280,-0.2364,-1.0142,1.0418,-0.8285,0.0896,11,0.1934,10
2024-04-29T00:02:30,767620950.000000,0.0866,-0.2522,-1.0582,1.0912,-0.9478,0.1400,11,0.1203,11
2024-04-29T00:03:00,767620980.000000,0.1010,-0.3051,-1.2236,1.2652,-1.1236,0.1692,11,0.1196,11
2024-04-29T00:03:30,767621010.000000,0.1267,-0.3485,-1.2483,1.3022,-1.1234,0.1609,11,0.3194,11
2024-04-29T00:04:00,767621040.000000,0.1239,-0.3990,-1.1757,1.2478,-1.1024,0.1680,11,0.1482,11
2024-04-29T00:04:30,767621070.000000,0.1495,-0.4200,-1.1101,1.1963,-1.0517,0.1616,10,0.1868,11
2024-04-29T00:05:00,767621100.000000,0.1612,-0.4318,-1.0337,1.1318,-1.0287,0.1648,10,0.1256,11
2024-04-29T00:05:30,767621130.000000,0.1733,-0.4710,-1.0338,1.1492,-1.0470,0.1637,10,0.1481,11
2024-04-29T00:06:00,767621160.000000,0.1499,-0.4705,-0.9260,1.0494,-1.0010,0.1697,10,0.1489,11
2024-04-29T00:06:30,767621190.000000,0.1455,-0.5097,-0.9608,1.0973,-1.0186,0.1641,10,0.2571,11
2024-04-29T00:07:00,767621220.000000,0.1424,-0.5467,-0.9608,1.1146,-0.9860,0.1501,11,0.2625,11
2024-04-29T00:07:30,767621250.000000,0.1577,-0.5878,-0.9465,1.1253,-0.9570,0.1429,11,0.3185,11
2024-04-29T00:08:00,767621280.000000,0.1734,-0.5275,-0.8033,0.9765,-0.8546,0.1366,11,0.4430,12
2024-04-29T00:08:30,767621310.000000,0.1620,-0.5390,-0.7240,0.9170,-0.8114,0.1321,10,0.3743,12
2024-04-29T00:09:00,767621340.000000,0.1500,-0.5569,-0.6487,0.8680,-0.7632,0.1288,10,0.2159,12
2024-04-29T00:09:30,767621370.000000,0.1782,-0.5779,-0.5999,0.8518,-0.7372,0.1260,10,0.5006,11
2024-04-29T00:10:00,767621400.000000,0.1807,-0.6036,-0.5814,0.8573,-0.7359,0.1222,9,0.2429,11
2024-04-29T00:10:30,767621430.000000,0.1720,-0.6282,-0.5319,0.8409,-0.7273,0.1204,9,0.1411,11
2024-04-29T00:11:00,767621460.000000,0.1873,-0.6480,-0.5138,0.8480,-0.7261,0.1171,9,0.2381,11
2024-04-29T00:11:30,767621490.000000,0.1830,-0.6646,-0.4363,0.8158,-0.6866,0.1152,9,0.0759,11
2024-04-29T00:12:00,767621520.000000,0.1915,-0.6807,-0.3531,0.7904,-0.6406,0.1120,9,0.0966,11
2024-04-29T00:12:30,767621550.000000,0.2012,-0.7131,-0.2522,0.7827,-0.5842,0.1086,9,0.5312,11
2024-04-29T00:13:00,767621580.000000,0.1686,-0.6769,-0.0652,0.7006,-0.4481,0.1061,8,0.4923,11
2024-04-29T00:13:30,767621610.000000,0.1442,-0.7741,-0.0404,0.7885,-0.4591,0.1043,8,0.5535,10
2024-04-29T00:14:00,767621640.000000,0.0989,-0.8293,-0.0354,0.8359,-0.4723,0.1006,8,0.0956,10
2024-04-29T00:14:30,767621670.000000,0.0836,-0.8959,0.0123,0.8998,-0.4761,0.1002,8,0.1494,10
2024-04-29T00:15:00,767621700.000000,0.0862,-0.8509,0.1947,0.8772,-0.3381,0.0989,8,0.1021,9
2024-04-29T00:15:30,767621730.000000,0.0455,-0.8557,0.1441,0.8690,-0.4029,0.0966,7,0.2615,9
2024-04-29T00:16:00,767621760.000000,-0.0614,-0.4147,0.2851,0.5070,-0.1487,0.0952,6,0.2316,10
2024-04-29T00:16:30,767621790.000000,-0.1185,-0.2891,0.1476,0.3455,-0.2004,0.0951,6,0.3490,10
2024-04-29T00:17:00,767621820.000000,-0.2083,-0.2307,0.0773,0.3203,-0.2124,0.0954,6,0.3561,10
2024-04-29T00:17:30,767621850.000000,-0.2567,-0.3387,0.0589,0.4291,-0.2714,0.0961,6,0.1984,10
2024-04-29T00:18:00,767621880.000000,-0.3135,-0.3173,-0.0220,0.4465,-0.3070,0.0961,6,0.1411,9
2024-04-29T00:18:30,767621910.000000,-0.3989,-0.3750,-0.2024,0.5837,-0.4415,0.0959,6,0.2358,9
2024-04-29T00:19:00,767621940.000000,-0.4900,-0.4140,-0.3025,0.7092,-0.4992,0.0960,6,0.1567,9
2024-04-29T00:19:30,767621970.000000,-0.5207,-0.4665,-0.2566,0.7447,-0.4802,0.0965,7,0.3624,9
2024-04-29T00:20:00,767622000.000000,-0.6059,-0.5987,-0.5402,1.0087,-0.6979,0.0966,8,0.3670,8
2024-04-29T00:20:30,767622030.000000,-0.5973,-0.6135,-0.5069,0.9950,-0.6706,0.1062,8,0.1554,8
2024-04-29T00:21:00,767622060.000000,-0.5192,-0.4741,0.0097,0.7032,-0.2579,0.0929,8,0.5791,8
2024-04-29T00:21:30,767622090.000000,-0.5229,-0.4532,-0.0400,0.6931,-0.2468,0.0867,8,0.2687,8
2024-04-29T00:22:00,767622120.000000,-0.5614,-0.4938,0.3140,0.8110,-0.0538,0.0791,8,1.2104,8
2024-04-29T00:22:30,767622150.000000,-0.6123,-0.4989,0.5511,0.9631,0.0845,0.0732,8,1.4563,8
2024-04-29T00:23:00,767622180.000000,-0.6435,-0.4622,0.7824,1.1135,0.2267,0.0688,7,0.6415,8
2024-04-29T00:23:30,767622210.000000,-0.6515,-0.4071,1.0679,1.3155,0.3829,0.0658,6,0.2335,8
2024-04-29T00:24:00,767622240.000000,-0.6576,-0.3957,0.9816,1.2460,0.3579,0.0615,6,0.2571,8
2024-04-29T00:24:30,767622270.000000,-0.6957,-0.3469,1.1326,1.3737,0.4551,0.0560,7,0.4470,8
2024-04-29T00:25:00,767622300.000000,-0.7686,-0.2335,1.5024,1.7036,0.6703,0.0505,7,0.4773,8
2024-04-29T00:25:30,767622330.000000,-0.9064,0.0970,2.5690,2.7260,1.2619,0.0411,7,0.3275,9
2024-04-29T00:26:00,767622360.000000,-0.9029,0.0665,2.1253,2.3100,1.0903,0.0319,7,0.5371,9
2024-04-29T00:26:30,767622390.000000,-0.8528,0.0186,1.8475,2.0349,0.9830,0.0263,7,0.4018,9
2024-04-29T00:27:00,767622420.000000,-0.8534,0.0083,1.7011,1.9031,0.9287,0.0175,7,0.3804,9
2024-04-29T00:27:30,767622450.000000,-0.8299,-0.0294,1.5957,1.7988,0.8950,0.0112,7,0.6150,9
2024-04-29T00:28:00,767622480.000000,-0.8469,-0.0002,1.6954,1.8952,0.9910,0.0031,7,0.7509,8
