time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-15T00:00:30,-0.0004,0.0023,0.0242,0.0243,6
2024-05-15T00:01:00,0.0001,0.0060,-0.0614,0.0617,6
2024-05-15T00:01:30,0.0029,-0.0124,0.1523,0.1528,6
2024-05-15T00:02:00,0.0005,nan,nan,nan,21
2024-05-15T00:02:30,0.0006,nan,nan,nan,21
2024-05-15T00:03:00,0.0006,nan,nan,nan,21
2024-05-15T00:03:30,0.0020,nan,nan,nan,21
2024-05-15T00:04:00,-0.0020,nan,nan,nan,21
2024-05-15T00:04:30,-0.0014,-0.0060,0.0596,0.0599,7
2024-05-15T00:05:00,0.0005,0.0020,0.0137,0.0138,7
2024-05-15T00:05:30,-0.0015,-0.0135,0.0881,0.0891,7
2024-05-15T00:06:00,-0.0053,0.0071,-0.0297,0.0309,7
2024-05-15T00:06:30,-0.0051,0.0087,-0.0642,0.0650,7
2024-05-15T00:07:00,-0.0002,-0.0022,0.0209,0.0211,7
2024-05-15T00:07:30,-0.0042,0.0001,-0.0206,0.0210,7
2024-05-15T00:08:00,-0.0005,-0.0031,0.0051,0.0060,7
2024-05-15T00:08:30,0.0032,-0.0016,0.0141,0.0145,7
2024-05-15T00:09:00,0.0008,-0.0015,-0.0036,0.0040,7
2024-05-15T00:09:30,0.0014,-0.0039,0.0343,0.0346,7
2024-05-15T00:10:00,-0.0029,-0.0033,-0.0087,0.0098,7
2024-05-15T00:10:30,-0.0032,-0.0004,-0.0037,0.0049,8
2024-05-15T00:11:00,0.0129,-0.0070,0.0705,0.0720,8
2024-05-15T00:11:30,-0.0015,0.0009,-0.0193,0.0194,8
2024-05-15T00:12:00,-0.0028,0.0026,-0.0212,0.0215,7
2024-05-15T00:12:30,-0.0060,0.0003,-0.0811,0.0814,7
2024-05-15T00:13:00,0.0008,-0.0008,0.0135,0.0136,7
2024-05-15T00:13:30,0.0011,-0.0040,0.0102,0.0110,7
2024-05-15T00:14:00,-0.0021,0.0019,-0.0307,0.0308,7
2024-05-15T00:14:30,0.0023,-0.0056,0.0059,0.0084,7
2024-05-15T00:15:00,0.0037,0.0076,0.0484,0.0492,7
2024-05-15T00:15:30,0.0035,-0.0009,0.0511,0.0512,7
2024-05-15T00:16:00,0.0029,-0.0056,0.0115,0.0131,7
2024-05-15T00:16:30,-0.0002,0.0053,0.0164,0.0172,7
2024-05-15T00:17:00,-0.0015,0.0037,-0.0684,0.0685,7
2024-05-15T00:17:30,0.0067,0.0010,0.0806,0.0808,6
2024-05-15T00:18:00,-0.0010,-0.0091,0.0332,0.0344,6
2024-05-15T00:18:30,0.0015,0.0005,-0.0295,0.0295,6
2024-05-15T00:19:00,-0.0041,0.0116,0.0139,0.0186,6
2024-05-15T00:19:30,-0.0024,0.0144,0.0346,0.0376,6
2024-05-15T00:20:00,0.0011,0.0102,-0.0256,0.0276,7
2024-05-15T00:20:30,0.0031,0.0024,-0.0126,0.0132,6
2024-05-15T00:21:00,-0.0101,0.0238,0.0271,0.0375,6
2024-05-15T00:21:30,0.0059,-0.0033,-0.0021,0.0071,6
2024-05-15T00:22:00,-0.0023,0.0068,0.0340,0.0348,7
2024-05-15T00:22:30,0.0069,-0.0315,0.0255,0.0411,7
2024-05-15T00:23:00,0.0120,-0.0480,0.2351,0.2403,8
2024-05-15T00:23:30,0.0040,-0.0165,0.1471,0.1481,8
2024-05-15T00:24:00,-0.0059,0.0126,-0.0040,0.0145,8
2024-05-15T00:24:30,0.0017,-0.0007,0.0714,0.0715,8
2024-05-15T00:25:00,0.0035,-0.0049,-0.0105,0.0122,8
2024-05-15T00:25:30,0.0001,-0.0044,-0.1412,0.1412,8
2024-05-15T00:26:00,0.0014,0.0012,0.0640,0.0641,8
2024-05-15T00:26:30,0.0008,-0.0009,0.0864,0.0864,8
2024-05-15T00:27:00,-0.0008,0.0022,0.3465,0.3465,8
2024-05-15T00:27:30,-0.0020,-0.0027,0.0727,0.0728,8
2024-05-15T00:28:00,0.0038,0.0039,-0.0025,0.0060,8
2024-05-15T00:28:30,-0.0001,0.0005,-0.0272,0.0272,8
2024-05-15T00:29:00,-0.0008,-0.0120,-0.0260,0.0286,9
2024-05-15T00:29:30,-0.0037,-0.0228,-0.1219,0.1241,9
2024-05-15T00:30:00,0.0012,-0.0067,-0.0754,0.0757,8
2024-05-15T00:30:30,-0.0029,0.0099,0.0020,0.0105,8
2024-05-15T00:31:00,0.0027,0.0069,0.0497,0.0502,8
2024-05-15T00:31:30,-0.0026,-0.0221,0.0515,0.0561,8
2024-05-15T00:32:00,0.0001,-0.0088,0.0292,0.0305,6
2024-05-15T00:32:30,0.0013,-0.0033,0.0115,0.0121,6
2024-05-15T00:33:00,-0.0016,0.0294,-0.0860,0.0909,6
2024-05-15T00:33:30,0.0025,-0.0183,0.1074,0.1090,6
2024-05-15T00:34:00,0.0006,-0.0422,0.0792,0.0897,6
2024-05-15T00:34:30,-0.0006,0.0109,-0.0324,0.0342,6
2024-05-15T00:35:00,0.0018,-0.0186,0.0276,0.0333,7
2024-05-15T00:35:30,0.0027,-0.0449,0.1057,0.1148,7
2024-05-15T00:36:00,0.0010,0.0017,-0.0188,0.0189,7
2024-05-15T00:36:30,-0.0023,0.0062,-0.0032,0.0074,7
2024-05-15T00:37:00,-0.0006,-0.0151,0.0089,0.0175,7
2024-05-15T00:37:30,0.0007,-0.0043,-0.0025,0.0050,7
2024-05-15T00:38:00,0.0006,0.0048,-0.0152,0.0159,7
2024-05-15T00:38:30,-0.0025,0.0155,-0.0040,0.0162,7
2024-05-15T00:39:00,-0.0016,0.0014,-0.0214,0.0215,7
2024-05-15T00:39:30,-0.0006,0.0036,0.0150,0.0155,7
2024-05-15T00:40:00,0.0005,-0.0030,-0.0122,0.0126,7
2024-05-15T00:40:30,0.0018,0.0046,-0.0153,0.0161,7
2024-05-15T00:41:00,-0.0053,0.0188,-0.0335,0.0388,7
2024-05-15T00:41:30,0.0020,-0.0183,0.0239,0.0302,7
2024-05-15T00:42:00,0.0009,-0.0016,0.0270,0.0270,7
2024-05-15T00:42:30,0.0011,-0.0054,0.0092,0.0107,7
2024-05-15T00:43:00,0.0017,0.0113,0.0614,0.0625,8
2024-05-15T00:43:30,-0.0024,0.0173,0.0246,0.0302,8
2024-05-15T00:44:00,0.0045,-0.0097,0.0206,0.0232,9
2024-05-15T00:44:30,0.0020,-0.0049,-0.0010,0.0054,9
2024-05-15T00:45:00,0.0010,-0.0025,0.0146,0.0148,9
2024-05-15T00:45:30,-0.0011,0.0007,-0.0386,0.0386,10
2024-05-15T00:46:00,0.0005,0.0029,0.0146,0.0149,10
2024-05-15T00:46:30,0.0007,-0.0021,0.0002,0.0023,10
2024-05-15T00:47:00,0.0035,-0.0028,0.0128,0.0136,10
2024-05-15T00:47:30,0.0015,-0.0024,-0.0060,0.0066,10
2024-05-15T00:48:00,-0.0010,0.0016,0.0425,0.0426,10
2024-05-15T00:48:30,0.0010,-0.0006,0.0027,0.0029,10
2024-05-15T00:49:00,-0.0007,0.0046,0.0893,0.0895,11
2024-05-15T00:49:30,-0.0018,nan,nan,nan,21
2024-05-15T00:50:00,0.0007,nan,nan,nan,21
2024-05-15T00:50:30,0.0001,nan,nan,nan,21
2024-05-15T00:51:00,0.0013,nan,nan,nan,21
2024-05-15T00:51:30,-0.0010,-0.0000,-0.0193,0.0193,11
2024-05-15T00:52:00,0.0020,0.0001,-0.0907,0.0907,11
2024-05-15T00:52:30,-0.0006,0.0011,-0.0192,0.0192,11
